Country,Region,GNI,Sex,Indicator,2013,2014,2015,2016,2017,2018
Afghanistan,Middle East and North Africa,Low,female,"Adult illiterate population, 15+ years, % female",NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,both,"Adult literacy rate, population 15+ years, gender parity index (GPI)",NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,both,Learning poverty: gender difference (%),NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,female,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,male,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,female,"Literacy rate, adult female (% of females ages 15 and above)",NaN,NaN,NaN,NaN,NaN,29.80521
Afghanistan,Middle East and North Africa,Low,both,"Literacy rate, adult gender difference (%)",NaN,NaN,NaN,NaN,NaN,-25.67024
Afghanistan,Middle East and North Africa,Low,male,"Literacy rate, adult male (% of males ages 15 and above)",NaN,NaN,NaN,NaN,NaN,55.47545
Afghanistan,Middle East and North Africa,Low,both,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",NaN,NaN,NaN,NaN,NaN,0.75933
Afghanistan,Middle East and North Africa,Low,female,"Literacy rate, youth female (% of females ages 15-24)",NaN,NaN,NaN,NaN,NaN,56.25475
Afghanistan,Middle East and North Africa,Low,both,"Literacy rate, youth gender difference (%)",NaN,NaN,NaN,NaN,NaN,-17.83005
Afghanistan,Middle East and North Africa,Low,male,"Literacy rate, youth male (% of males ages 15-24)",NaN,NaN,NaN,NaN,NaN,74.0848
Afghanistan,Middle East and North Africa,Low,female,Mean performance on the mathematics scale. Female,NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,both,Mean performance on the mathematics scale. Gender Difference,NaN,NaN,NaN,NaN,NaN,NaN
