Country,Region,Gross National Income (GNI),Sex,Indicator,2013,2014,2015,2016,2017,2018
Afghanistan,Middle East and North Africa,Low,female,Proportion of seats held by women in national parliaments (%),27.7,27.7,27.7,27.7,27.7,27.7
Afghanistan,Middle East and North Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,11.1,10,16.7,NaN,16.1
Afghanistan,Middle East and North Africa,Low,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,female,Political Empowerment Score,0.0256,NaN,NaN,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),17.9,20,20.7,22.9,27.9,27.9
Albania,Post-communist,Upper-Middle,female,Proportion of women in managerial positions,31.9,NaN,NaN,NaN,22.6,NaN
Albania,Post-communist,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,30,35,40,NaN,53.3
Albania,Post-communist,Upper-Middle,female,Proportion of women in senior and middle management positions,29.3,NaN,NaN,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,female,Share of female judges,43,43,46,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,female,Share of female police officers,11,11,10,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,female,Political Empowerment Score,0.1511,NaN,NaN,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),31.6,31.6,31.6,31.6,25.8,25.8
Algeria,Middle East and North Africa,Upper-Middle,female,Proportion of women in managerial positions,10.6,9.9,NaN,NaN,8.4,NaN
Algeria,Middle East and North Africa,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,12.1,20,13.3,NaN,13.3
Algeria,Middle East and North Africa,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,female,Share of female judges,41,42,43,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,female,Share of female police officers,6,6,6,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,female,Political Empowerment Score,0.2614,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),34.1,36.8,36.8,36.8,38.2,30.5
Angola,Sub Saharan Africa,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,19.4,22.2,22.2,NaN,34.4
Angola,Sub Saharan Africa,Lower-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,female,Political Empowerment Score,0.3136,NaN,NaN,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),NaN,36.6,NaN,35.8,38.9,38.9
Argentina,Americas,Upper-Middle,female,Proportion of women in managerial positions,30.3,30.6,NaN,NaN,30.9,NaN
Argentina,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,17.6,22.2,17.4,NaN,25
Argentina,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,36.5,38.6,NaN,NaN,32.2,NaN
Argentina,Americas,Upper-Middle,female,Share of female judges,29,30,30,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,female,Political Empowerment Score,0.0662,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),10.7,10.7,10.7,10.7,18.1,18.1
Armenia,Post-communist,Upper-Middle,female,Proportion of women in managerial positions,28.8,32.4,29.1,29.5,28.7,NaN
Armenia,Post-communist,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,11.1,11.1,11.1,NaN,7.1
Armenia,Post-communist,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,female,Share of female judges,NaN,23,24,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,female,Proportion of seats held by women in national parliaments (%),NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,female,Proportion of women in ministerial level positions (%),NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,female,Political Empowerment Score,0.1945,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,female,Proportion of seats held by women in national parliaments (%),26,26,26.7,28.7,28.7,28.7
Australia,Asia Pacific,High,female,Proportion of women in managerial positions,35.8,36.3,37.6,36.6,NaN,NaN
Australia,Asia Pacific,High,female,Proportion of women in ministerial level positions (%),NaN,17.2,17.2,24.1,NaN,NaN
Australia,Asia Pacific,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,female,Share of female police officers,32,32,32,NaN,NaN,NaN
Austria,Europe,High,female,Political Empowerment Score,0.3318,NaN,NaN,NaN,NaN,NaN
Austria,Europe,High,female,Proportion of seats held by women in national parliaments (%),33.3,32.2,30.6,30.6,30.6,34.4
Austria,Europe,High,female,Proportion of women in managerial positions,29.4,30.3,29.7,31.8,31.8,NaN
Austria,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,30.8,30.8,23.1,NaN,NaN
Austria,Europe,High,female,Proportion of women in senior and middle management positions,26.3,27.9,27.9,29.5,29.2,NaN
Austria,Europe,High,female,Share of female judges,51,53,NaN,NaN,NaN,NaN
Austria,Europe,High,female,Share of female police officers,15,15,16,NaN,NaN,NaN
Azerbaijan,Post-communist,Upper-Middle,female,Political Empowerment Score,0.0663,NaN,NaN,NaN,NaN,NaN
Azerbaijan,Post-communist,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),16,15.6,16.9,16.8,16.8,16.8
Azerbaijan,Post-communist,Upper-Middle,female,Proportion of women in managerial positions,33,34.5,35.1,34.9,34.5,NaN
Azerbaijan,Post-communist,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,2.8,2.5,0,NaN,NaN
