Country,Region,Gross National Income (GNI),fin_inc_male,fin_inc_female,urban_labour_part_male,urban_labour_part_female,rural_labour_part_male,rural_labour_part_female,total_labour_part_male,total_labour_part_female,family_planning_demand_female(15-49),family_planning_demand_female(15-19),gov_exp_health,gov_exp_education,births_by_18
Afghanistan,Middle East and North Africa,Low,23,7,71,16,74,23,73,21,42,21,0.5,3.2,20
Albania,Post-communist,Upper-Middle,42,38,NaN,NaN,NaN,NaN,NaN,NaN,5,5,2.9,3.4,3
Algeria,Middle East and North Africa,Upper-Middle,56,29,57,15,65,10,60,13,77,NaN,4.9,,1
Andorra,Europe,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,3.3,
Angola,Sub Saharan Africa,Lower-Middle,36,22,73,63,89,90,80,75,30,15,1.4,3.5,38
Anguilla,Americas,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
Antigua and Barbuda,Americas,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2,,
Argentina,Americas,Upper-Middle,46,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8,5.8,12
Armenia,Post-communist,Upper-Middle,56,41,68,48,74,61,71,53,37,NaN,1.6,2.8,1
Australia,Asia Pacific,High,100,99,72,61,67,57,71,60,NaN,NaN,6.4,5.3,
Austria,Europe,High,98,98,67,55,67,57,67,56,NaN,NaN,7.5,5.5,
Azerbaijan,Post-communist,Upper-Middle,29,28,NaN,NaN,NaN,NaN,NaN,NaN,22,13,1.4,3,4
Bahamas,Americas,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,,
Bahrain,Middle East and North Africa,High,86,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2,2.7,
Bangladesh,Asia Pacific,Lower-Middle,65,36,81,31,80,39,81,36,73,68,0.4,1.5,36
Barbados,Americas,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,3.2,4.7,7
