HPI Rank	Country	Region	"Average Life 
Expectancy"	"Average Wellbeing
(0-10)"	Happy Life Years	"Footprint
(gha/capita)"	Inequality of Outcomes	Inequality-adjusted Life Expectancy	Inequality-adjusted Wellbeing	Happy Planet Index	" GDP/capita
($PPP) "	Population	GINI index
110	Afghanistan	Middle East and North Africa	59.7	3.8	12.4	0.8	43%	38.3	3.4	20.2	 $691 	"29,726,803"	Data unavailable
13	Albania	Post-communist	77.3	5.5	34.4	2.2	17%	69.7	5.1	36.8	" $4,247 "	"2,900,489"	29
30	Algeria	Middle East and North Africa	74.3	5.6	30.5	2.1	24%	60.5	5.2	33.3	" $5,584 "	"37,439,427"	Data unavailable
19	Argentina	Americas	75.9	6.5	40.2	3.1	16%	68.3	6	35.2	" $14,357 "	"42,095,224"	42.5
73	Armenia	Post-communist	74.4	4.3	24	2.2	22%	66.9	3.7	25.7	" $3,566 "	"2,978,339"	30.5
105	Australia	Asia Pacific	82.1	7.2	53.1	9.3	8%	78.6	6.9	21.2	" $67,646 "	"22,728,254"	Data unavailable
43	Austria	Europe	81	7.4	54.4	6.1	7%	78	7.1	30.5	" $48,324 "	"8,429,991"	30.5
8	Bangladesh	Asia Pacific	70.8	4.7	23.3	0.7	27%	56.6	4.3	38.4	 $859 	"155,257,387"	Data unavailable
102	Belarus	Post-communist	70.9	5.7	34	5.1	13%	66.7	5.3	21.7	" $6,722 "	"9,464,000"	26
87	Belgium	Europe	80.4	6.9	49.5	7.4	9%	77.2	6.6	23.7	" $44,731 "	"11,128,246"	27.6
27	Belize	Americas	69.8	6.1	34.2	2.5	18%	61.7	5.7	33.8	" $4,674 "	"336,707"	Data unavailable
137	Benin	Sub Saharan Africa	59.2	3.2	9.9	1.4	44%	37.3	2.8	13.4	 $808 	"10,049,792"	Data unavailable
56	Bhutan	Asia Pacific	68.7	5.6	27.4	2.3	27%	54.5	5.2	28.6	" $2,452 "	"743,711"	38.7
92	Bolivia	Americas	67.5	6	25.6	3	35%	47.9	5.5	23.3	" $2,645 "	"10,238,762"	46.7
76	Bosnia and Herzegovina	Post-communist	76.2	4.8	28.6	3.1	19%	71.1	4.2	25.3	" $4,495 "	"3,828,419"	Data unavailable
126	Botswana	Sub Saharan Africa	64.2	4.8	21.3	3.8	28%	50.8	4.3	16.6	" $6,936 "	"2,132,822"	Data unavailable
23	Brazil	Americas	73.9	6.9	39	3.1	22%	63.3	6.3	34.3	" $12,157 "	"202,401,584"	52.7
109	Bulgaria	Post-communist	73.9	4.2	24	3.3	19%	68.1	3.7	20.4	" $7,333 "	"7,305,888"	36
119	Burkina Faso	Sub Saharan Africa	58	4	12.6	1.2	43%	36.5	3.6	17.9	 $673 	"16,590,813"	Data unavailable
131	Burundi	Sub Saharan Africa	55.8	3.4	9.5	0.8	48%	33	3	15.6	 $244 	"10,124,572"	Data unavailable
74	Cambodia	Asia Pacific	67.5	3.9	18.2	1.2	28%	54.2	3.5	25.6	 $946 	"14,832,255"	30.8
124	Cameroon	Sub Saharan Africa	54.6	4.2	11.6	1.2	47%	33.1	3.7	16.7	" $1,222 "	"21,659,488"	Data unavailable
85	Canada	Americas	81.7	7.4	53.9	8.2	9%	77.8	7.1	23.9	" $52,738 "	"34,751,476"	Data unavailable
140	Chad	Sub Saharan Africa	50.8	4	9.6	1.5	51%	27.3	3.7	12.8	 $973 	"12,715,465"	Data unavailable
35	Chile	Americas	81.1	6.6	44.7	4.4	14%	74.9	6.1	31.7	" $15,253 "	"17,388,437"	Data unavailable
72	China	Asia Pacific	75.4	5.1	30.6	3.4	17%	68.6	4.6	25.7	" $6,265 "	"1,350,695,000"	Data unavailable
3	Colombia	Americas	73.7	6.4	35.1	1.9	24%	63.1	5.7	40.7	" $7,885 "	"46,881,018"	53.5
93	Comoros	Sub Saharan Africa	62.6	4	15.4	1	36%	43.3	3.7	23.1	 $750 	"733,661"	Data unavailable
1	Costa Rica	Americas	79.1	7.3	48.2	2.8	15%	72.6	6.8	44.7	" $9,733 "	"4,654,148"	48.6
135	Cote d'Ivoire	Sub Saharan Africa	50.8	3.8	10.3	1.3	45%	30.6	3.5	14.4	" $1,281 "	"21,102,641"	Data unavailable
47	Croatia	Post-communist	77	6	39.6	3.9	12%	73.5	5.5	30.2	" $13,236 "	"4,267,558"	Data unavailable
41	Cyprus	Europe	79.8	6.2	42.3	4.2	12%	76.6	5.7	30.7	" $28,868 "	"1,129,303"	34.3
64	Czech Republic	Post-communist	78.2	6.3	43.4	5.2	9%	75.5	5.9	27.3	" $19,641 "	"10,510,785"	26.1
32	Denmark	Europe	79.8	7.5	54.4	5.5	7%	76.8	7.2	32.7	" $57,636 "	"5,591,572"	29.1
127	Djibouti	Sub Saharan Africa	61.3	4.4	15.1	2.2	42%	41.4	3.8	16.4	" $1,587 "	"853,069"	45.1
45	Dominican Republic	Americas	73.1	4.8	23.7	1.5	30%	60.8	4.1	30.3	" $5,967 "	"10,155,036"	45.7
10	Ecuador	Americas	75.4	6	34.3	2.2	22%	64.1	5.5	37	" $5,702 "	"15,419,493"	46.6
86	Egypt	Middle East and North Africa	70.7	4.2	21.8	2.2	23%	61.3	3.7	23.8	" $3,226 "	"85,660,902"	Data unavailable
17	El Salvador	Americas	72.5	5.9	32.2	2.1	22%	62.5	5.3	35.6	" $3,922 "	"6,072,233"	41.8
118	Estonia	Post-communist	76.2	5.4	35	6.9	12%	72.6	5	17.9	" $17,491 "	"1,322,696"	33.2
66	Ethiopia	Sub Saharan Africa	62.8	4.6	17.8	1	36%	43.8	4.2	26.7	 $470 	"92,191,211"	Data unavailable
37	Finland	Europe	80.4	7.4	54.6	5.9	6%	77.6	7.2	31.3	" $47,416 "	"5,413,971"	27.1
