Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Afghanistan,AFG,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,59.18
Afghanistan,AFG,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,82.68
Afghanistan,AFG,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,69.52
Afghanistan,AFG,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,82.35
Afghanistan,AFG,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,84.2
Afghanistan,AFG,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,85.5
Afghanistan,AFG,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,87.5
Afghanistan,AFG,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,88.81
Afghanistan,AFG,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,91.44
Afghanistan,AFG,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,37.2
Afghanistan,AFG,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,61.01
Afghanistan,AFG,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,49.12
Afghanistan,AFG,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,69.11
Afghanistan,AFG,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,67.98
Afghanistan,AFG,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,62.18
Afghanistan,AFG,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,68.2
Afghanistan,AFG,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,72.24
Afghanistan,AFG,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,77.08
Afghanistan,AFG,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,78.24
Afghanistan,AFG,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,84.43
Afghanistan,AFG,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,85.29
Afghanistan,AFG,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,89.25
Afghanistan,AFG,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,91.02
Afghanistan,AFG,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,92.84
Afghanistan,AFG,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,94.59
Afghanistan,AFG,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,96.14
Afghanistan,AFG,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,97.21
Afghanistan,AFG,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,58.38
Afghanistan,AFG,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,65.73
Afghanistan,AFG,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,67.85
Afghanistan,AFG,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,73.21
Afghanistan,AFG,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,75.04
Afghanistan,AFG,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,77.8
Afghanistan,AFG,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,82.03
Afghanistan,AFG,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,85.74
Afghanistan,AFG,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,88.81
Afghanistan,AFG,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,77.56
Afghanistan,AFG,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,69.62
Afghanistan,AFG,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,83.03
Afghanistan,AFG,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,84.89
Afghanistan,AFG,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,85.39
Afghanistan,AFG,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,88.19
Afghanistan,AFG,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,89.5
Afghanistan,AFG,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,94.8
Afghanistan,AFG,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,94.8
Afghanistan,AFG,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,54.52
Afghanistan,AFG,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,48.32
Afghanistan,AFG,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,68.31
Afghanistan,AFG,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,67.17
Afghanistan,AFG,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,59.77
Afghanistan,AFG,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,67.39
Afghanistan,AFG,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,71.5
Afghanistan,AFG,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,78.4
Afghanistan,AFG,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,78.4
