Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Angola,AGO,2016,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,784381
Angola,AGO,2011,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,595938
Angola,AGO,2010,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,668358
Angola,AGO,2009,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,695562
Angola,AGO,2008,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,716061
Angola,AGO,2007,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,938389
Angola,AGO,1999,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,388605
Angola,AGO,1998,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,311749
Angola,AGO,1992,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,214867
Angola,AGO,1991,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,164146
Angola,AGO,1990,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,191882
Angola,AGO,1989,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,209171
Angola,AGO,1988,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,212733
Angola,AGO,1987,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,222161
Angola,AGO,1986,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,230154
Angola,AGO,1985,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,208459
Angola,AGO,1984,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,254736
Angola,AGO,1983,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,292457
Angola,AGO,1982,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,342316
Angola,AGO,1981,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,390512
Angola,AGO,2016,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,368312
Angola,AGO,2011,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,353621
Angola,AGO,2010,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,336176
Angola,AGO,2009,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,326385
Angola,AGO,2008,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,316879
Angola,AGO,2007,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,510622
Angola,AGO,1999,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,154271
Angola,AGO,1998,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,107831
Angola,AGO,1992,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,88286
Angola,AGO,1991,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,55817
Angola,AGO,1990,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,88707
Angola,AGO,1989,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,96016
Angola,AGO,1988,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,97335
Angola,AGO,1987,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,100034
Angola,AGO,1986,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,103139
Angola,AGO,1982,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,163478
