Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Argentina,ARG,2014,Coverage: Finished Primary School,2.0.cov.FPS,90.5099203148948
Argentina,ARG,2012,Coverage: Finished Primary School,2.0.cov.FPS,89.3843668815176
Argentina,ARG,2000,Coverage: Finished Primary School,2.0.cov.FPS,86.3385416166796
Argentina,ARG,2014,HOI: Finished Primary School,2.0.hoi.FPS,88.5826307093923
Argentina,ARG,2012,HOI: Finished Primary School,2.0.hoi.FPS,87.2523620549682
Argentina,ARG,2000,HOI: Finished Primary School,2.0.hoi.FPS,83.6218189540918
Argentina,ARG,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.2
Argentina,ARG,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.2
Argentina,ARG,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.73
Argentina,ARG,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.38
Argentina,ARG,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.2
Argentina,ARG,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.16
Argentina,ARG,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.5
Argentina,ARG,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.17
Argentina,ARG,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3
Argentina,ARG,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.3
Argentina,ARG,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.3
Argentina,ARG,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.83
Argentina,ARG,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.98
Argentina,ARG,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.6
Argentina,ARG,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.36
Argentina,ARG,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.3
Argentina,ARG,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.08
Argentina,ARG,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.7
Argentina,ARG,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.16
Argentina,ARG,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.02
Argentina,ARG,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.69
Argentina,ARG,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.38
Argentina,ARG,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.15
Argentina,ARG,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.48
Argentina,ARG,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.65
Argentina,ARG,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,6.61
Argentina,ARG,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.99
Argentina,ARG,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.93
Argentina,ARG,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.86
Argentina,ARG,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,3.48
Argentina,ARG,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.02
Argentina,ARG,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.8
Argentina,ARG,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.96
Argentina,ARG,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.91
Argentina,ARG,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.89
Argentina,ARG,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.02
Argentina,ARG,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.22
Argentina,ARG,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.22
Argentina,ARG,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.18
Argentina,ARG,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.51
Argentina,ARG,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.8
Argentina,ARG,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.3
