Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Armenia,ARM,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.16
Armenia,ARM,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.16
Armenia,ARM,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.16
Armenia,ARM,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.94
Armenia,ARM,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.69
Armenia,ARM,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4
Armenia,ARM,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.28
Armenia,ARM,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.55
Armenia,ARM,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.81
Armenia,ARM,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.21
Armenia,ARM,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.41
Armenia,ARM,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.21
Armenia,ARM,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.34
Armenia,ARM,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.42
Armenia,ARM,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.05
Armenia,ARM,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.67
Armenia,ARM,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.25
Armenia,ARM,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.8
Armenia,ARM,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.46
Armenia,ARM,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.64
Armenia,ARM,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.84
Armenia,ARM,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.19
Armenia,ARM,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.56
Armenia,ARM,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.04
Armenia,ARM,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.06
Armenia,ARM,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.92
