Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Bangladesh,BGD,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.09
Bangladesh,BGD,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,18.24
Bangladesh,BGD,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,24.63
Bangladesh,BGD,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,47.23
Bangladesh,BGD,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,51.46
Bangladesh,BGD,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,51.59
Bangladesh,BGD,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,67.6
Bangladesh,BGD,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,78
Bangladesh,BGD,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,80.17
Bangladesh,BGD,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.1
Bangladesh,BGD,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,18.9
Bangladesh,BGD,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,24.28
Bangladesh,BGD,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,43.7
Bangladesh,BGD,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,47.52
Bangladesh,BGD,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,43.31
Bangladesh,BGD,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,59.8
Bangladesh,BGD,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,65.9
Bangladesh,BGD,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,68.14
Bangladesh,BGD,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,35.18
Bangladesh,BGD,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,42.59
Bangladesh,BGD,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,48.92
Bangladesh,BGD,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,57.95
Bangladesh,BGD,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,64.59
Bangladesh,BGD,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,70.64
Bangladesh,BGD,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,79.56
Bangladesh,BGD,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,88.88
Bangladesh,BGD,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,89.9
Bangladesh,BGD,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,31.88
Bangladesh,BGD,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,38.65
Bangladesh,BGD,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,44.41
Bangladesh,BGD,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,50.82
Bangladesh,BGD,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,55.55
Bangladesh,BGD,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,59.27
Bangladesh,BGD,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,66.81
Bangladesh,BGD,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,77.39
Bangladesh,BGD,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,78.21
Bangladesh,BGD,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,17
Bangladesh,BGD,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,23.37
Bangladesh,BGD,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,38.57
Bangladesh,BGD,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,47.31
Bangladesh,BGD,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,52.92
Bangladesh,BGD,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,63.32
Bangladesh,BGD,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,71.7
Bangladesh,BGD,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,84.5
Bangladesh,BGD,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,89.59
Bangladesh,BGD,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,17.07
Bangladesh,BGD,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,22.44
Bangladesh,BGD,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,34.44
Bangladesh,BGD,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,43.3
Bangladesh,BGD,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,46.21
Bangladesh,BGD,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,54
Bangladesh,BGD,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,60.8
Bangladesh,BGD,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,70.9
Bangladesh,BGD,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,78.58
