Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Barbados,BRB,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.09
Barbados,BRB,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.09
Barbados,BRB,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.03
Barbados,BRB,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.53
Barbados,BRB,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.79
Barbados,BRB,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.09
Barbados,BRB,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.1
Barbados,BRB,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.18
Barbados,BRB,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.2
Barbados,BRB,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.18
Barbados,BRB,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.21
Barbados,BRB,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.02
Barbados,BRB,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.4
Barbados,BRB,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.77
Barbados,BRB,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.1
Barbados,BRB,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.41
Barbados,BRB,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.11
Barbados,BRB,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.2
Barbados,BRB,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.03
Barbados,BRB,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.03
Barbados,BRB,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.01
Barbados,BRB,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.48
Barbados,BRB,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.52
Barbados,BRB,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.51
Barbados,BRB,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.01
Barbados,BRB,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.91
Barbados,BRB,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.89
Barbados,BRB,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.22
Barbados,BRB,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.04
Barbados,BRB,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.01
Barbados,BRB,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.53
Barbados,BRB,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.8
Barbados,BRB,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.81
Barbados,BRB,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.55
Barbados,BRB,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.89
Barbados,BRB,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.83
Barbados,BRB,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.09
Barbados,BRB,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.09
Barbados,BRB,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0
Barbados,BRB,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.01
Barbados,BRB,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.04
Barbados,BRB,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.05
Barbados,BRB,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.72
Barbados,BRB,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.2
Barbados,BRB,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.3
Barbados,BRB,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.28
Barbados,BRB,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.09
Barbados,BRB,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0
Barbados,BRB,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.01
Barbados,BRB,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.04
Barbados,BRB,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.26
Barbados,BRB,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.69
Barbados,BRB,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.3
Barbados,BRB,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.4
Barbados,BRB,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.09
Barbados,BRB,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0
Barbados,BRB,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.01
Barbados,BRB,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.04
Barbados,BRB,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.05
Barbados,BRB,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.72
Barbados,BRB,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.2
Barbados,BRB,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.26
Barbados,BRB,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.3
Barbados,BRB,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.09
Barbados,BRB,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0
