Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Benin,BEN,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,32.5
Benin,BEN,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,47.84
Benin,BEN,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,58.8
Benin,BEN,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,59.08
Benin,BEN,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,63.51
Benin,BEN,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,69.63
Benin,BEN,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,77.1
Benin,BEN,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,80.92
Benin,BEN,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,85.35
Benin,BEN,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.64
Benin,BEN,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,36.01
Benin,BEN,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,46.9
Benin,BEN,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,50.3
Benin,BEN,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,56.97
Benin,BEN,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,59.48
Benin,BEN,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,64.4
Benin,BEN,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,67.21
Benin,BEN,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,72.05
Benin,BEN,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,64.88
Benin,BEN,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,70.59
Benin,BEN,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,74.7
Benin,BEN,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,77.89
