Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Bolivia,BOL,2014,Coverage: Finished Primary School,2.0.cov.FPS,82.9464640184799
Bolivia,BOL,2012,Coverage: Finished Primary School,2.0.cov.FPS,77.0636265867817
Bolivia,BOL,2000,Coverage: Finished Primary School,2.0.cov.FPS,69.6549204865672
Bolivia,BOL,2014,HOI: Finished Primary School,2.0.hoi.FPS,79.5782533141218
Bolivia,BOL,2012,HOI: Finished Primary School,2.0.hoi.FPS,71.9091586140702
Bolivia,BOL,2000,HOI: Finished Primary School,2.0.hoi.FPS,61.1447190440069
Bolivia,BOL,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.43
Bolivia,BOL,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.21
Bolivia,BOL,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.5
Bolivia,BOL,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.29
Bolivia,BOL,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.82
Bolivia,BOL,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.75
Bolivia,BOL,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.73
Bolivia,BOL,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,21.3
Bolivia,BOL,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,28.75
Bolivia,BOL,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.41
Bolivia,BOL,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.52
Bolivia,BOL,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.87
Bolivia,BOL,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.64
Bolivia,BOL,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.55
Bolivia,BOL,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.69
Bolivia,BOL,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.5
Bolivia,BOL,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,14.4
Bolivia,BOL,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,20.58
Bolivia,BOL,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.21
Bolivia,BOL,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,15.71
Bolivia,BOL,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.49
Bolivia,BOL,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,20.2
Bolivia,BOL,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,26.25
Bolivia,BOL,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,33.25
Bolivia,BOL,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,41.44
Bolivia,BOL,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,49.56
Bolivia,BOL,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,56.4
Bolivia,BOL,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.82
Bolivia,BOL,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.75
Bolivia,BOL,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,12.21
Bolivia,BOL,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,14.21
Bolivia,BOL,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,19.09
Bolivia,BOL,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,24.4
