Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Bosnia and Herzegovina,BIH,2011,MICS: Gross attendance rate. Post Secondary,HH.MICS.GAR.456,41.390689158089
Bosnia and Herzegovina,BIH,2011,MICS: Gross attendance rate. Post Secondary. Female,HH.MICS.GAR.456.F,44.5149404226766
Bosnia and Herzegovina,BIH,2011,MICS: Gross attendance rate. Post Secondary. Male,HH.MICS.GAR.456.M,38.471228813192
Bosnia and Herzegovina,BIH,2011,MICS: Gross attendance rate. Post Secondary. Quintile 1,HH.MICS.GAR.456.Q1,19.7225909165955
Bosnia and Herzegovina,BIH,2011,MICS: Gross attendance rate. Post Secondary. Quintile 2,HH.MICS.GAR.456.Q2,34.6967699534604
Bosnia and Herzegovina,BIH,2011,MICS: Gross attendance rate. Post Secondary. Quintile 3,HH.MICS.GAR.456.Q3,30.02987700147
Bosnia and Herzegovina,BIH,2011,MICS: Gross attendance rate. Post Secondary. Quintile 4,HH.MICS.GAR.456.Q4,46.1752233606463
Bosnia and Herzegovina,BIH,2011,MICS: Gross attendance rate. Post Secondary. Quintile 5,HH.MICS.GAR.456.Q5,63.7638432297829
Bosnia and Herzegovina,BIH,2011,MICS: Gross attendance rate. Post Secondary. Rural,HH.MICS.GAR.456.R,37.0085278514528
Bosnia and Herzegovina,BIH,2011,MICS: Gross attendance rate. Post Secondary. Urban,HH.MICS.GAR.456.U,48.8055258514496
Bosnia and Herzegovina,BIH,2011,MICS: Net attendance rate. Primary,HH.MICS.NAR.1,98.4583462021472
Bosnia and Herzegovina,BIH,2006,MICS: Net attendance rate. Primary,HH.MICS.NAR.1,99.3317277253787
Bosnia and Herzegovina,BIH,2011,MICS: Net attendance rate. Primary. Female,HH.MICS.NAR.1.F,98.2176383274764
Bosnia and Herzegovina,BIH,2006,MICS: Net attendance rate. Primary. Female,HH.MICS.NAR.1.F,99.1566790919392
Bosnia and Herzegovina,BIH,2011,MICS: Net attendance rate. Primary. Male,HH.MICS.NAR.1.M,98.6378243200588
Bosnia and Herzegovina,BIH,2006,MICS: Net attendance rate. Primary. Male,HH.MICS.NAR.1.M,99.5187772954676
Bosnia and Herzegovina,BIH,2011,MICS: Net attendance rate. Primary. Quintile 1,HH.MICS.NAR.1.Q1,99.879692186292
Bosnia and Herzegovina,BIH,2006,MICS: Net attendance rate. Primary. Quintile 1,HH.MICS.NAR.1.Q1,99.8189097246336
Bosnia and Herzegovina,BIH,2011,MICS: Net attendance rate. Primary. Quintile 2,HH.MICS.NAR.1.Q2,99.4116243701857
Bosnia and Herzegovina,BIH,2006,MICS: Net attendance rate. Primary. Quintile 2,HH.MICS.NAR.1.Q2,99.5532955653911
Bosnia and Herzegovina,BIH,2011,MICS: Net attendance rate. Primary. Quintile 3,HH.MICS.NAR.1.Q3,99.4993253660832
Bosnia and Herzegovina,BIH,2006,MICS: Net attendance rate. Primary. Quintile 3,HH.MICS.NAR.1.Q3,98.7198079511064
Bosnia and Herzegovina,BIH,2011,MICS: Net attendance rate. Primary. Quintile 4,HH.MICS.NAR.1.Q4,98.3712735516006
