Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Botswana,BWA,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Botswana,BWA,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.93
Botswana,BWA,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.56
Botswana,BWA,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.09
Botswana,BWA,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.78
Botswana,BWA,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.47
Botswana,BWA,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,19.4
Botswana,BWA,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,27.65
Botswana,BWA,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,34.7
Botswana,BWA,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.09
Botswana,BWA,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.52
Botswana,BWA,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.52
Botswana,BWA,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.1
Botswana,BWA,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.21
Botswana,BWA,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,17.26
Botswana,BWA,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,24.9
Botswana,BWA,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,31.97
Botswana,BWA,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,40.2
Botswana,BWA,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.16
Botswana,BWA,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,12.52
Botswana,BWA,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,15.12
Botswana,BWA,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,19.11
Botswana,BWA,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.63
Botswana,BWA,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,34.14
Botswana,BWA,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,42.1
Botswana,BWA,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,49.14
Botswana,BWA,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,54.92
Botswana,BWA,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.83
Botswana,BWA,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,12.58
Botswana,BWA,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,15.59
Botswana,BWA,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,19.97
