Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Brunei Darussalam,BRN,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.1
Brunei Darussalam,BRN,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,21.41
Brunei Darussalam,BRN,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.66
Brunei Darussalam,BRN,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.1
Brunei Darussalam,BRN,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.1
Brunei Darussalam,BRN,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.1
Brunei Darussalam,BRN,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.1
Brunei Darussalam,BRN,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,9.11
Brunei Darussalam,BRN,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.5
Brunei Darussalam,BRN,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,19.68
Brunei Darussalam,BRN,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,25.98
Brunei Darussalam,BRN,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.38
Brunei Darussalam,BRN,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,19.68
Brunei Darussalam,BRN,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,19.68
Brunei Darussalam,BRN,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,19.68
Brunei Darussalam,BRN,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,19.7
Brunei Darussalam,BRN,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.92
Brunei Darussalam,BRN,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9
Brunei Darussalam,BRN,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,22.23
Brunei Darussalam,BRN,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,22.97
Brunei Darussalam,BRN,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.22
Brunei Darussalam,BRN,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,24.79
Brunei Darussalam,BRN,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.57
Brunei Darussalam,BRN,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,32.8
