Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Bulgaria,BGR,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.2
Bulgaria,BGR,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.36
Bulgaria,BGR,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.06
Bulgaria,BGR,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.29
Bulgaria,BGR,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2
Bulgaria,BGR,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.05
Bulgaria,BGR,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.32
Bulgaria,BGR,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.16
Bulgaria,BGR,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.17
Bulgaria,BGR,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.94
Bulgaria,BGR,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.01
Bulgaria,BGR,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.07
Bulgaria,BGR,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.07
Bulgaria,BGR,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.9
Bulgaria,BGR,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.03
Bulgaria,BGR,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.93
Bulgaria,BGR,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.16
Bulgaria,BGR,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.18
Bulgaria,BGR,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.89
Bulgaria,BGR,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.46
Bulgaria,BGR,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.59
Bulgaria,BGR,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.69
Bulgaria,BGR,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.23
Bulgaria,BGR,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.46
Bulgaria,BGR,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,6.87
Bulgaria,BGR,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.6
Bulgaria,BGR,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,11
