Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Burundi,BDI,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,40.83
Burundi,BDI,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,48.29
Burundi,BDI,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,43.64
Burundi,BDI,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,45.32
Burundi,BDI,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,62.76
Burundi,BDI,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,71.06
Burundi,BDI,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,75.16
Burundi,BDI,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,78.06
Burundi,BDI,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,80.1
Burundi,BDI,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,33.37
Burundi,BDI,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,41.32
Burundi,BDI,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,37.13
Burundi,BDI,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,37.59
Burundi,BDI,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,55.63
Burundi,BDI,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,64.52
Burundi,BDI,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,63.02
Burundi,BDI,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,62.4
Burundi,BDI,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,67.05
Burundi,BDI,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,57.95
Burundi,BDI,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,62.27
Burundi,BDI,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,66.52
Burundi,BDI,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,72.91
Burundi,BDI,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,80.89
Burundi,BDI,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,82.53
Burundi,BDI,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,84.8
Burundi,BDI,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,87.19
Burundi,BDI,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,88.47
Burundi,BDI,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,50.43
Burundi,BDI,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,54.52
Burundi,BDI,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,58.4
Burundi,BDI,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,64.69
Burundi,BDI,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,71.88
