Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Cameroon,CMR,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,35.4
Cameroon,CMR,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,36.56
Cameroon,CMR,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,27.7
Cameroon,CMR,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,22.52
Cameroon,CMR,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,24.72
Cameroon,CMR,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,30.41
Cameroon,CMR,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,37.9
Cameroon,CMR,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,41
Cameroon,CMR,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,57.42
Cameroon,CMR,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,30.37
Cameroon,CMR,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,33.2
Cameroon,CMR,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,23.26
Cameroon,CMR,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,17.07
Cameroon,CMR,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,18.7
Cameroon,CMR,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,24.28
Cameroon,CMR,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,29.7
Cameroon,CMR,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,31.2
Cameroon,CMR,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,45.02
Cameroon,CMR,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,25.87
Cameroon,CMR,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.18
Cameroon,CMR,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,30.86
Cameroon,CMR,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,36.31
Cameroon,CMR,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,44.3
Cameroon,CMR,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,53.25
Cameroon,CMR,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,62.43
