Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Chile,CHL,2014,Coverage: Finished Primary School,2.0.cov.FPS,80.2785865644634
Chile,CHL,2012,Coverage: Finished Primary School,2.0.cov.FPS,86.3718584879681
Chile,CHL,2000,Coverage: Finished Primary School,2.0.cov.FPS,82.7613976151142
Chile,CHL,2014,HOI: Finished Primary School,2.0.hoi.FPS,77.8148115888554
Chile,CHL,2012,HOI: Finished Primary School,2.0.hoi.FPS,84.1400434892261
Chile,CHL,2000,HOI: Finished Primary School,2.0.hoi.FPS,79.2739951281474
Chile,CHL,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.07
Chile,CHL,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.66
Chile,CHL,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.89
Chile,CHL,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.45
Chile,CHL,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.87
Chile,CHL,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.12
Chile,CHL,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.5
Chile,CHL,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.29
Chile,CHL,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.8
Chile,CHL,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.42
Chile,CHL,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.72
Chile,CHL,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.96
Chile,CHL,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.29
Chile,CHL,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.99
Chile,CHL,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.61
Chile,CHL,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.6
Chile,CHL,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.77
Chile,CHL,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.9
Chile,CHL,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.74
Chile,CHL,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.63
Chile,CHL,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.44
Chile,CHL,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.82
Chile,CHL,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.96
Chile,CHL,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.8
Chile,CHL,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.41
Chile,CHL,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.53
Chile,CHL,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.49
Chile,CHL,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.57
Chile,CHL,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,3.39
Chile,CHL,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.17
Chile,CHL,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.47
Chile,CHL,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.57
Chile,CHL,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.35
Chile,CHL,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.8
Chile,CHL,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.88
Chile,CHL,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.71
Chile,CHL,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.71
Chile,CHL,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.33
