Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
China,CHN,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.49
China,CHN,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.81
China,CHN,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.32
China,CHN,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.45
China,CHN,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.45
China,CHN,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.08
China,CHN,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.39
China,CHN,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.78
China,CHN,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.78
China,CHN,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.47
China,CHN,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.49
China,CHN,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.04
China,CHN,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.7
China,CHN,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.3
China,CHN,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.1
China,CHN,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.8
China,CHN,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,18.97
China,CHN,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,18.97
China,CHN,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.9
China,CHN,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,11.64
China,CHN,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,16.19
China,CHN,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.43
China,CHN,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,19.55
China,CHN,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,22.92
China,CHN,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.26
China,CHN,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,36.01
China,CHN,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,43.51
China,CHN,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.35
China,CHN,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.68
China,CHN,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.97
China,CHN,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,15.96
China,CHN,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,22.23
China,CHN,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,22.63
China,CHN,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,24.75
China,CHN,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,32.96
China,CHN,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,39.53
China,CHN,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.6
