Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Colombia,COL,2014,Coverage: Finished Primary School,2.0.cov.FPS,65.0663973227456
Colombia,COL,2012,Coverage: Finished Primary School,2.0.cov.FPS,63.5669163159688
Colombia,COL,2014,HOI: Finished Primary School,2.0.hoi.FPS,56.8893336726979
Colombia,COL,2012,HOI: Finished Primary School,2.0.hoi.FPS,55.5460481627623
Colombia,COL,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.74
Colombia,COL,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.11
Colombia,COL,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.57
Colombia,COL,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.25
Colombia,COL,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Colombia,COL,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.81
Colombia,COL,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.18
Colombia,COL,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.2
Colombia,COL,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,13.25
Colombia,COL,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.95
Colombia,COL,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.48
Colombia,COL,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.31
Colombia,COL,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6
Colombia,COL,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.14
Colombia,COL,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.61
Colombia,COL,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.64
Colombia,COL,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.3
Colombia,COL,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,14.02
Colombia,COL,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,6.18
Colombia,COL,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.47
Colombia,COL,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.67
Colombia,COL,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,11.94
Colombia,COL,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,12.21
Colombia,COL,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.88
Colombia,COL,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,16.63
Colombia,COL,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,21.18
Colombia,COL,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,24.43
Colombia,COL,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.28
Colombia,COL,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.4
Colombia,COL,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.55
Colombia,COL,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,11.71
Colombia,COL,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,11.89
Colombia,COL,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,13.46
Colombia,COL,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,16.79
Colombia,COL,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,20.07
Colombia,COL,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,23.25
Colombia,COL,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.4
Colombia,COL,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.79
Colombia,COL,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.31
Colombia,COL,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,5.92
Colombia,COL,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,6.94
Colombia,COL,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.69
Colombia,COL,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,7.33
Colombia,COL,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,13.4
Colombia,COL,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,13.4
Colombia,COL,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.88
Colombia,COL,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.89
Colombia,COL,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.58
Colombia,COL,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,6.45
Colombia,COL,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,7.35
Colombia,COL,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,5.92
