Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Congo, Dem. Rep.",COD,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,48.1
"Congo, Dem. Rep.",COD,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,51.79
"Congo, Dem. Rep.",COD,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,52.1
"Congo, Dem. Rep.",COD,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,43.62
"Congo, Dem. Rep.",COD,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,35.44
"Congo, Dem. Rep.",COD,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,38.02
"Congo, Dem. Rep.",COD,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,43.47
"Congo, Dem. Rep.",COD,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,49.08
"Congo, Dem. Rep.",COD,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,61.5
"Congo, Dem. Rep.",COD,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,45.21
"Congo, Dem. Rep.",COD,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,43.87
"Congo, Dem. Rep.",COD,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,43.9
"Congo, Dem. Rep.",COD,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,28.69
"Congo, Dem. Rep.",COD,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,23.52
"Congo, Dem. Rep.",COD,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,25.31
"Congo, Dem. Rep.",COD,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,26.49
"Congo, Dem. Rep.",COD,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,35.51
"Congo, Dem. Rep.",COD,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,44.39
"Congo, Dem. Rep.",COD,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,52.86
"Congo, Dem. Rep.",COD,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,54.9
"Congo, Dem. Rep.",COD,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,56.57
"Congo, Dem. Rep.",COD,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,57.74
"Congo, Dem. Rep.",COD,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,61.19
"Congo, Dem. Rep.",COD,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,67.22
"Congo, Dem. Rep.",COD,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,73.73
"Congo, Dem. Rep.",COD,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,80.14
"Congo, Dem. Rep.",COD,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,86.37
"Congo, Dem. Rep.",COD,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,44.34
"Congo, Dem. Rep.",COD,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,44.78
"Congo, Dem. Rep.",COD,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,45.76
"Congo, Dem. Rep.",COD,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,45.1
"Congo, Dem. Rep.",COD,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,48.13
"Congo, Dem. Rep.",COD,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,53.06
"Congo, Dem. Rep.",COD,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,58.55
"Congo, Dem. Rep.",COD,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,64.84
"Congo, Dem. Rep.",COD,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,70.3
"Congo, Dem. Rep.",COD,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,51.79
"Congo, Dem. Rep.",COD,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,52.1
"Congo, Dem. Rep.",COD,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,48.78
"Congo, Dem. Rep.",COD,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,41.06
"Congo, Dem. Rep.",COD,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,43.64
"Congo, Dem. Rep.",COD,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,49.09
"Congo, Dem. Rep.",COD,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,54.7
"Congo, Dem. Rep.",COD,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,67.12
"Congo, Dem. Rep.",COD,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,79.09
"Congo, Dem. Rep.",COD,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,43.87
"Congo, Dem. Rep.",COD,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,43.9
"Congo, Dem. Rep.",COD,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,39.2
"Congo, Dem. Rep.",COD,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,34.45
"Congo, Dem. Rep.",COD,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,36.24
"Congo, Dem. Rep.",COD,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,37.42
"Congo, Dem. Rep.",COD,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,46.44
"Congo, Dem. Rep.",COD,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,55.31
"Congo, Dem. Rep.",COD,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,61.76
"Congo, Dem. Rep.",COD,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,52.1
"Congo, Dem. Rep.",COD,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,48.78
"Congo, Dem. Rep.",COD,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,41.06
"Congo, Dem. Rep.",COD,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,43.64
"Congo, Dem. Rep.",COD,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,49.09
"Congo, Dem. Rep.",COD,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,54.7
"Congo, Dem. Rep.",COD,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,67.12
"Congo, Dem. Rep.",COD,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,79.09
"Congo, Dem. Rep.",COD,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,86.51
"Congo, Dem. Rep.",COD,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,43.9
"Congo, Dem. Rep.",COD,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,39.2
"Congo, Dem. Rep.",COD,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,34.45
"Congo, Dem. Rep.",COD,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,36.24
"Congo, Dem. Rep.",COD,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,37.42
"Congo, Dem. Rep.",COD,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,46.44
"Congo, Dem. Rep.",COD,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,55.31
