Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Congo, Rep.",COG,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,15.18
"Congo, Rep.",COG,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.91
"Congo, Rep.",COG,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,9.03
"Congo, Rep.",COG,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.63
"Congo, Rep.",COG,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,12.6
"Congo, Rep.",COG,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,12.6
"Congo, Rep.",COG,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.07
"Congo, Rep.",COG,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.04
"Congo, Rep.",COG,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,30.97
"Congo, Rep.",COG,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.77
"Congo, Rep.",COG,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.69
"Congo, Rep.",COG,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.16
"Congo, Rep.",COG,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.74
"Congo, Rep.",COG,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,21.62
"Congo, Rep.",COG,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.2
"Congo, Rep.",COG,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.03
"Congo, Rep.",COG,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.05
"Congo, Rep.",COG,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.76
"Congo, Rep.",COG,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,36.28
"Congo, Rep.",COG,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,37.92
"Congo, Rep.",COG,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,38.42
"Congo, Rep.",COG,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,41.8
"Congo, Rep.",COG,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,47.23
"Congo, Rep.",COG,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,52.82
"Congo, Rep.",COG,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,59.49
"Congo, Rep.",COG,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,66.74
"Congo, Rep.",COG,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,78.78
"Congo, Rep.",COG,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,27.48
"Congo, Rep.",COG,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,29.01
"Congo, Rep.",COG,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,31.81
"Congo, Rep.",COG,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,35.57
"Congo, Rep.",COG,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,39.89
"Congo, Rep.",COG,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,42.02
"Congo, Rep.",COG,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,48.31
"Congo, Rep.",COG,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,55.6
"Congo, Rep.",COG,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,66.26
"Congo, Rep.",COG,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,38.54
"Congo, Rep.",COG,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,41.39
"Congo, Rep.",COG,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,33.97
"Congo, Rep.",COG,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,32.11
"Congo, Rep.",COG,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,33.06
"Congo, Rep.",COG,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,23.4
"Congo, Rep.",COG,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,41.9
"Congo, Rep.",COG,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,41.9
"Congo, Rep.",COG,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,76.4
"Congo, Rep.",COG,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,28.75
"Congo, Rep.",COG,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,21.17
