Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Cote d'Ivoire,CIV,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,37.82
Cote d'Ivoire,CIV,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,41.81
Cote d'Ivoire,CIV,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,43.4
Cote d'Ivoire,CIV,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,49.99
Cote d'Ivoire,CIV,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,56.3
Cote d'Ivoire,CIV,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,58.34
Cote d'Ivoire,CIV,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,60.31
Cote d'Ivoire,CIV,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,62.18
Cote d'Ivoire,CIV,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,63.96
Cote d'Ivoire,CIV,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,26.33
Cote d'Ivoire,CIV,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,29.99
Cote d'Ivoire,CIV,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,33.5
Cote d'Ivoire,CIV,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,39.91
Cote d'Ivoire,CIV,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,45.5
Cote d'Ivoire,CIV,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,47.55
Cote d'Ivoire,CIV,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,49.54
Cote d'Ivoire,CIV,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,51.44
Cote d'Ivoire,CIV,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,53.26
Cote d'Ivoire,CIV,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,50.74
Cote d'Ivoire,CIV,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,55.08
Cote d'Ivoire,CIV,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,59.53
Cote d'Ivoire,CIV,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,68.23
Cote d'Ivoire,CIV,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,78.12
Cote d'Ivoire,CIV,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,81.93
Cote d'Ivoire,CIV,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,85.34
Cote d'Ivoire,CIV,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,88.49
Cote d'Ivoire,CIV,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,89.7
Cote d'Ivoire,CIV,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,39.61
Cote d'Ivoire,CIV,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,44.3
Cote d'Ivoire,CIV,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,49.19
Cote d'Ivoire,CIV,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,57.84
Cote d'Ivoire,CIV,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,67.23
Cote d'Ivoire,CIV,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,71.22
Cote d'Ivoire,CIV,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,74.89
Cote d'Ivoire,CIV,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,78.87
Cote d'Ivoire,CIV,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,81.67
Cote d'Ivoire,CIV,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,40.19
Cote d'Ivoire,CIV,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,41.78
Cote d'Ivoire,CIV,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,43.4
Cote d'Ivoire,CIV,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,43.4
Cote d'Ivoire,CIV,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,68.2
Cote d'Ivoire,CIV,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,73.2
Cote d'Ivoire,CIV,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,77.5
Cote d'Ivoire,CIV,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,86
Cote d'Ivoire,CIV,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,92.9
Cote d'Ivoire,CIV,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,27.65
Cote d'Ivoire,CIV,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,31.14
Cote d'Ivoire,CIV,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,33.5
Cote d'Ivoire,CIV,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,33.52
Cote d'Ivoire,CIV,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,57.5
Cote d'Ivoire,CIV,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,61.6
Cote d'Ivoire,CIV,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,63.4
Cote d'Ivoire,CIV,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,70.1
Cote d'Ivoire,CIV,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,80
Cote d'Ivoire,CIV,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,41.78
Cote d'Ivoire,CIV,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,43.4
Cote d'Ivoire,CIV,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,43.4
Cote d'Ivoire,CIV,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,62.84
Cote d'Ivoire,CIV,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,73.2
Cote d'Ivoire,CIV,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,77.5
Cote d'Ivoire,CIV,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,86
Cote d'Ivoire,CIV,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,92.9
Cote d'Ivoire,CIV,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,95.4
Cote d'Ivoire,CIV,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,31.14
Cote d'Ivoire,CIV,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,33.5
Cote d'Ivoire,CIV,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,33.5
Cote d'Ivoire,CIV,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,52.09
Cote d'Ivoire,CIV,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,61.6
Cote d'Ivoire,CIV,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,63.4
Cote d'Ivoire,CIV,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,70.1
Cote d'Ivoire,CIV,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,80
