Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Croatia,HRV,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.32
Croatia,HRV,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.94
Croatia,HRV,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.99
Croatia,HRV,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.15
Croatia,HRV,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.28
Croatia,HRV,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.49
Croatia,HRV,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.46
Croatia,HRV,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.22
Croatia,HRV,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.77
Croatia,HRV,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.34
Croatia,HRV,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.75
Croatia,HRV,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.86
Croatia,HRV,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.16
Croatia,HRV,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.85
Croatia,HRV,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.06
Croatia,HRV,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.03
Croatia,HRV,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,14.77
Croatia,HRV,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,18.31
Croatia,HRV,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.74
Croatia,HRV,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.66
Croatia,HRV,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,6.82
Croatia,HRV,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.24
Croatia,HRV,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,12.45
Croatia,HRV,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.63
Croatia,HRV,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.29
Croatia,HRV,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,20.12
Croatia,HRV,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,25.42
Croatia,HRV,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.8
Croatia,HRV,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,3.19
Croatia,HRV,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.73
Croatia,HRV,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.48
Croatia,HRV,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,8.91
Croatia,HRV,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.75
Croatia,HRV,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,13.04
Croatia,HRV,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,15.5
Croatia,HRV,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,19.88
Croatia,HRV,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.3
Croatia,HRV,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.46
Croatia,HRV,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.31
Croatia,HRV,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.25
Croatia,HRV,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.93
Croatia,HRV,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.3
Croatia,HRV,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.3
Croatia,HRV,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.25
Croatia,HRV,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.25
Croatia,HRV,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.31
Croatia,HRV,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.45
Croatia,HRV,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.31
Croatia,HRV,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.23
Croatia,HRV,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.9
Croatia,HRV,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.23
Croatia,HRV,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.23
Croatia,HRV,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.88
Croatia,HRV,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.88
Croatia,HRV,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.46
Croatia,HRV,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.31
Croatia,HRV,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.25
Croatia,HRV,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.85
Croatia,HRV,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.3
Croatia,HRV,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.3
