Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Cuba,CUB,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.64
Cuba,CUB,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Cuba,CUB,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.34
Cuba,CUB,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.95
Cuba,CUB,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.92
Cuba,CUB,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.41
Cuba,CUB,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.8
Cuba,CUB,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.6
Cuba,CUB,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.43
Cuba,CUB,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.61
Cuba,CUB,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.1
Cuba,CUB,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.81
Cuba,CUB,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.49
Cuba,CUB,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.25
Cuba,CUB,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.33
Cuba,CUB,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1
Cuba,CUB,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.74
Cuba,CUB,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.87
Cuba,CUB,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.48
Cuba,CUB,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.28
Cuba,CUB,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.21
Cuba,CUB,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,11.1
Cuba,CUB,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.11
Cuba,CUB,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,6.91
Cuba,CUB,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.9
Cuba,CUB,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,6.61
Cuba,CUB,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.17
Cuba,CUB,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.67
Cuba,CUB,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.37
Cuba,CUB,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,12.06
Cuba,CUB,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.23
Cuba,CUB,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,8.39
Cuba,CUB,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.41
Cuba,CUB,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.7
Cuba,CUB,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.71
Cuba,CUB,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,12.98
Cuba,CUB,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.1
Cuba,CUB,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.1
Cuba,CUB,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.55
Cuba,CUB,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.82
Cuba,CUB,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.14
Cuba,CUB,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.31
Cuba,CUB,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.2
Cuba,CUB,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.8
Cuba,CUB,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.31
