Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Cyprus,CYP,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.16
Cyprus,CYP,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.5
Cyprus,CYP,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.2
Cyprus,CYP,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.15
Cyprus,CYP,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.29
Cyprus,CYP,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.17
Cyprus,CYP,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,19.18
Cyprus,CYP,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,15.54
Cyprus,CYP,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.93
Cyprus,CYP,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.08
Cyprus,CYP,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.6
Cyprus,CYP,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.25
Cyprus,CYP,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.73
Cyprus,CYP,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.29
Cyprus,CYP,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.18
Cyprus,CYP,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,17.56
Cyprus,CYP,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,15.08
Cyprus,CYP,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.67
Cyprus,CYP,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.17
Cyprus,CYP,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,18.11
Cyprus,CYP,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,11.8
Cyprus,CYP,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.17
Cyprus,CYP,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.03
Cyprus,CYP,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.32
Cyprus,CYP,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,15.7
Cyprus,CYP,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,19.26
Cyprus,CYP,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,24.77
