Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Dominican Republic,DOM,2014,Coverage: Finished Primary School,2.0.cov.FPS,72.5851217179115
Dominican Republic,DOM,2012,Coverage: Finished Primary School,2.0.cov.FPS,70.8268686309137
Dominican Republic,DOM,2000,Coverage: Finished Primary School,2.0.cov.FPS,48.2912179347598
Dominican Republic,DOM,2014,HOI: Finished Primary School,2.0.hoi.FPS,65.4262379641299
Dominican Republic,DOM,2012,HOI: Finished Primary School,2.0.hoi.FPS,63.5278301173415
Dominican Republic,DOM,2000,HOI: Finished Primary School,2.0.hoi.FPS,38.5713856327652
Dominican Republic,DOM,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.24
Dominican Republic,DOM,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.7
Dominican Republic,DOM,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.12
Dominican Republic,DOM,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.1
Dominican Republic,DOM,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.43
Dominican Republic,DOM,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.79
Dominican Republic,DOM,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,19.55
Dominican Republic,DOM,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,21.25
Dominican Republic,DOM,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,19.9
Dominican Republic,DOM,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.77
Dominican Republic,DOM,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.28
Dominican Republic,DOM,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.2
Dominican Republic,DOM,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.7
Dominican Republic,DOM,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.09
Dominican Republic,DOM,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,15.06
Dominican Republic,DOM,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,17.65
Dominican Republic,DOM,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,21.29
Dominican Republic,DOM,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,21
Dominican Republic,DOM,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.26
Dominican Republic,DOM,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.76
Dominican Republic,DOM,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.14
