Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Egypt, Arab Rep.",EGY,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.33
"Egypt, Arab Rep.",EGY,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.92
"Egypt, Arab Rep.",EGY,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.93
"Egypt, Arab Rep.",EGY,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.2
"Egypt, Arab Rep.",EGY,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,35.2
"Egypt, Arab Rep.",EGY,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,43.9
"Egypt, Arab Rep.",EGY,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,60.18
"Egypt, Arab Rep.",EGY,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,67.9
"Egypt, Arab Rep.",EGY,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,71.79
"Egypt, Arab Rep.",EGY,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.85
"Egypt, Arab Rep.",EGY,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.18
"Egypt, Arab Rep.",EGY,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.88
"Egypt, Arab Rep.",EGY,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,20.64
"Egypt, Arab Rep.",EGY,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,26.76
"Egypt, Arab Rep.",EGY,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,34.5
"Egypt, Arab Rep.",EGY,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,50.11
"Egypt, Arab Rep.",EGY,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,57.8
"Egypt, Arab Rep.",EGY,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,62.11
"Egypt, Arab Rep.",EGY,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,38.25
"Egypt, Arab Rep.",EGY,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,43.38
"Egypt, Arab Rep.",EGY,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,49
"Egypt, Arab Rep.",EGY,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,56.72
"Egypt, Arab Rep.",EGY,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,64
