Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
El Salvador,SLV,2014,Coverage: Finished Primary School,2.0.cov.FPS,60.1419270294315
El Salvador,SLV,2012,Coverage: Finished Primary School,2.0.cov.FPS,58.4810507207852
El Salvador,SLV,2000,Coverage: Finished Primary School,2.0.cov.FPS,42.6822985164174
El Salvador,SLV,2014,HOI: Finished Primary School,2.0.hoi.FPS,53.2972188186659
El Salvador,SLV,2012,HOI: Finished Primary School,2.0.hoi.FPS,51.5267596308663
El Salvador,SLV,2000,HOI: Finished Primary School,2.0.hoi.FPS,33.0352467599881
El Salvador,SLV,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.7
El Salvador,SLV,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.93
El Salvador,SLV,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.84
El Salvador,SLV,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.82
El Salvador,SLV,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.4
El Salvador,SLV,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.92
El Salvador,SLV,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,15.86
El Salvador,SLV,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.44
El Salvador,SLV,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,24.78
El Salvador,SLV,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.83
El Salvador,SLV,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.58
El Salvador,SLV,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.25
El Salvador,SLV,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,15.26
El Salvador,SLV,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,15
El Salvador,SLV,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,14.72
El Salvador,SLV,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.74
El Salvador,SLV,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.71
El Salvador,SLV,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,26.9
El Salvador,SLV,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.97
El Salvador,SLV,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,18.6
El Salvador,SLV,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,22.37
El Salvador,SLV,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,27.06
El Salvador,SLV,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,31.29
El Salvador,SLV,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,34.6
El Salvador,SLV,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,37.76
El Salvador,SLV,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,43.1
El Salvador,SLV,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,48.36
El Salvador,SLV,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,3.72
El Salvador,SLV,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,16.32
El Salvador,SLV,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,20.38
El Salvador,SLV,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,25.51
El Salvador,SLV,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,30.31
El Salvador,SLV,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,32.96
El Salvador,SLV,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,35.18
El Salvador,SLV,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,39.8
El Salvador,SLV,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,45.09
El Salvador,SLV,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.59
El Salvador,SLV,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,5.14
El Salvador,SLV,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,7.56
El Salvador,SLV,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,14.12
El Salvador,SLV,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,19.1
El Salvador,SLV,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,23.77
El Salvador,SLV,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,22.87
