Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Equatorial Guinea,GNQ,2015,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,39596
Equatorial Guinea,GNQ,2012,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,42431
Equatorial Guinea,GNQ,2011,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,42125
Equatorial Guinea,GNQ,2008,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,39551
Equatorial Guinea,GNQ,2006,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,32017
Equatorial Guinea,GNQ,2005,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,25208
Equatorial Guinea,GNQ,2004,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,25938
Equatorial Guinea,GNQ,2003,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,23644
Equatorial Guinea,GNQ,2001,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,20039
Equatorial Guinea,GNQ,2000,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,16654
Equatorial Guinea,GNQ,1999,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,16645
Equatorial Guinea,GNQ,2015,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,19707
Equatorial Guinea,GNQ,2012,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,21173
Equatorial Guinea,GNQ,2011,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,20924
Equatorial Guinea,GNQ,2008,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,22486
Equatorial Guinea,GNQ,2005,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,11380
Equatorial Guinea,GNQ,2001,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,11782
Equatorial Guinea,GNQ,2000,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,8484
Equatorial Guinea,GNQ,1999,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,8475
Equatorial Guinea,GNQ,2015,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.77018
Equatorial Guinea,GNQ,2012,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.89984
Equatorial Guinea,GNQ,2011,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.67122
Equatorial Guinea,GNQ,2008,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,56.85318
Equatorial Guinea,GNQ,2005,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,45.1444
Equatorial Guinea,GNQ,2001,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,58.79535
Equatorial Guinea,GNQ,2000,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50.94272
Equatorial Guinea,GNQ,1999,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50.91619
Equatorial Guinea,GNQ,2015,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,31.36276
Equatorial Guinea,GNQ,2012,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,37.92339
Equatorial Guinea,GNQ,2011,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,38.78881
