Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Eritrea,ERI,2017,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,44898
Eritrea,ERI,2015,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,42122
Eritrea,ERI,2014,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,45291
Eritrea,ERI,2013,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,46488
Eritrea,ERI,2012,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,45973
Eritrea,ERI,2011,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,46104
Eritrea,ERI,2010,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,40506
Eritrea,ERI,2009,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,37565
Eritrea,ERI,2008,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,35833
Eritrea,ERI,2007,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,37263
Eritrea,ERI,2006,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,35569
Eritrea,ERI,2005,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,31244
Eritrea,ERI,2004,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,18540
Eritrea,ERI,2003,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,14958
Eritrea,ERI,2002,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,12747
Eritrea,ERI,2001,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,12436
Eritrea,ERI,2000,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,11885
Eritrea,ERI,1999,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,11581
Eritrea,ERI,1997,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,7443
Eritrea,ERI,1996,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,8180
Eritrea,ERI,1995,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,8032
Eritrea,ERI,1994,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,7748
Eritrea,ERI,1993,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,7031
Eritrea,ERI,1992,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,6461
Eritrea,ERI,2017,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,21702
Eritrea,ERI,2015,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,20399
Eritrea,ERI,2014,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,22096
Eritrea,ERI,2013,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,22691
Eritrea,ERI,2012,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,22595
Eritrea,ERI,2011,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,22456
Eritrea,ERI,2010,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,19525
Eritrea,ERI,2009,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,18539
Eritrea,ERI,2008,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,17391
Eritrea,ERI,2007,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,18116
Eritrea,ERI,2006,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,17897
Eritrea,ERI,2005,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,15679
Eritrea,ERI,2004,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,8719
Eritrea,ERI,2003,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,7395
Eritrea,ERI,2002,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,6043
Eritrea,ERI,2001,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,5896
Eritrea,ERI,2000,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,5704
Eritrea,ERI,1999,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,5413
Eritrea,ERI,1997,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,3652
Eritrea,ERI,1996,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,3979
Eritrea,ERI,1995,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,3930
Eritrea,ERI,1994,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,3839
Eritrea,ERI,1993,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,3605
Eritrea,ERI,1992,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,3319
Eritrea,ERI,2017,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.33623
Eritrea,ERI,2015,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.42837
Eritrea,ERI,2014,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.78673
Eritrea,ERI,2013,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.81045
Eritrea,ERI,2012,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.14841
Eritrea,ERI,2011,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.70727
Eritrea,ERI,2010,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.20274
Eritrea,ERI,2009,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.35179
Eritrea,ERI,2008,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.53347
Eritrea,ERI,2007,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.61659
Eritrea,ERI,2006,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50.31629
Eritrea,ERI,2005,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50.18244
Eritrea,ERI,2004,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,47.02805
Eritrea,ERI,2003,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.43843
Eritrea,ERI,2002,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,47.40723
Eritrea,ERI,2001,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,47.41074
Eritrea,ERI,2000,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,47.99327
Eritrea,ERI,1999,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,46.74035
Eritrea,ERI,1997,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.06624
Eritrea,ERI,1996,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.64303
Eritrea,ERI,1995,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.92928
Eritrea,ERI,1994,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.54827
Eritrea,ERI,1993,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,51.27293
Eritrea,ERI,1992,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,51.36976
Eritrea,ERI,2017,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,13.83388
Eritrea,ERI,2015,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,13.19791
Eritrea,ERI,2014,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,12.54195
Eritrea,ERI,2013,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,13.83376
Eritrea,ERI,2012,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,10.89207
Eritrea,ERI,2011,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,11.63842
Eritrea,ERI,2010,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,10.8813
Eritrea,ERI,2009,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,10.51009
Eritrea,ERI,2008,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,10.73069
Eritrea,ERI,2007,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,11.39828
Eritrea,ERI,2006,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,11.88459
Eritrea,ERI,2005,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,10.74279
Eritrea,ERI,2004,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,6.51418
Eritrea,ERI,2003,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,5.34407
Eritrea,ERI,2002,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,4.63143
Eritrea,ERI,2001,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,4.67703
Eritrea,ERI,2000,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,4.78048
Eritrea,ERI,1999,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,4.66903
Eritrea,ERI,2017,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,13.61982
Eritrea,ERI,2015,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,13.05748
Eritrea,ERI,2014,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,12.47417
Eritrea,ERI,2013,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,13.78298
Eritrea,ERI,2012,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,10.86066
Eritrea,ERI,2011,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,11.54266
Eritrea,ERI,2010,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,10.69058
Eritrea,ERI,2009,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,10.57166
Eritrea,ERI,2008,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,10.59142
Eritrea,ERI,2007,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,11.27105
Eritrea,ERI,2006,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,12.32145
Eritrea,ERI,2005,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,10.90671
Eritrea,ERI,2004,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,6.37607
Eritrea,ERI,2003,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,5.37971
Eritrea,ERI,2002,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,4.42244
Eritrea,ERI,2001,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,4.47067
Eritrea,ERI,2000,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,4.64104
Eritrea,ERI,1999,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,4.44221
Eritrea,ERI,2017,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,14.03918
Eritrea,ERI,2015,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,13.33253
Eritrea,ERI,2014,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,12.60695
Eritrea,ERI,2013,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,13.8825
Eritrea,ERI,2012,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,10.92228
Eritrea,ERI,2011,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,11.73057
Eritrea,ERI,2010,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,11.06498
Eritrea,ERI,2009,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,10.45079
Eritrea,ERI,2008,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,10.86484
Eritrea,ERI,2007,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,11.52089
Eritrea,ERI,2006,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,11.46283
Eritrea,ERI,2005,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,10.58414
Eritrea,ERI,2004,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,6.64842
Eritrea,ERI,2003,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,5.30926
Eritrea,ERI,2002,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,4.83651
Eritrea,ERI,2001,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,4.88023
Eritrea,ERI,2000,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,4.91792
Eritrea,ERI,1999,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,4.89265
Eritrea,ERI,2017,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,62.3324
Eritrea,ERI,2015,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,64.58145
Eritrea,ERI,2014,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,60.10686
Eritrea,ERI,2013,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,57.3804
Eritrea,ERI,2012,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,53.51619
Eritrea,ERI,2011,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,51.72002
Eritrea,ERI,2010,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,53.02424
Eritrea,ERI,2009,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,49.73779
Eritrea,ERI,2008,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,48.02835
Eritrea,ERI,2007,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,44.79779
Eritrea,ERI,2006,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,44.29981
Eritrea,ERI,2005,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,48.4509
Eritrea,ERI,2004,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,75.96548
Eritrea,ERI,2003,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,86.36181
Eritrea,ERI,2002,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,93.27685
Eritrea,ERI,2001,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,94.54005
Eritrea,ERI,2000,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,94.55616
