Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Eswatini,SWZ,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,22.63
Eswatini,SWZ,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,15.19
Eswatini,SWZ,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.41
Eswatini,SWZ,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.67
Eswatini,SWZ,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.38
Eswatini,SWZ,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.51
Eswatini,SWZ,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.85
Eswatini,SWZ,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.9
Eswatini,SWZ,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,31.17
Eswatini,SWZ,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,24.62
Eswatini,SWZ,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,17.63
Eswatini,SWZ,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.35
Eswatini,SWZ,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.11
Eswatini,SWZ,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.83
Eswatini,SWZ,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,13.17
Eswatini,SWZ,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.4
Eswatini,SWZ,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,20.9
Eswatini,SWZ,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,30.51
Eswatini,SWZ,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,33.87
Eswatini,SWZ,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,50.9
Eswatini,SWZ,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,38.94
Eswatini,SWZ,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,34.26
Eswatini,SWZ,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,31.47
Eswatini,SWZ,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,30.1
Eswatini,SWZ,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,36.49
Eswatini,SWZ,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,44.52
Eswatini,SWZ,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,54.48
Eswatini,SWZ,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,32.94
Eswatini,SWZ,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,52.27
Eswatini,SWZ,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,39.49
Eswatini,SWZ,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,35.34
Eswatini,SWZ,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,32.57
Eswatini,SWZ,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,32.44
Eswatini,SWZ,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,37.14
Eswatini,SWZ,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,41.8
Eswatini,SWZ,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,52.19
Eswatini,SWZ,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,13.37
Eswatini,SWZ,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,12.67
Eswatini,SWZ,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,40.06
Eswatini,SWZ,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,30.62
Eswatini,SWZ,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,25.17
Eswatini,SWZ,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,18.88
Eswatini,SWZ,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,23.77
Eswatini,SWZ,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,29.5
Eswatini,SWZ,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,39.66
Eswatini,SWZ,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,13.34
Eswatini,SWZ,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,13.23
Eswatini,SWZ,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,43.09
Eswatini,SWZ,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,31.58
Eswatini,SWZ,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,25.38
Eswatini,SWZ,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,18.93
Eswatini,SWZ,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,26.4
Eswatini,SWZ,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,26.4
Eswatini,SWZ,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,36.8
Eswatini,SWZ,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,12.67
Eswatini,SWZ,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,40.08
Eswatini,SWZ,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,30.62
Eswatini,SWZ,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,25.17
Eswatini,SWZ,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,25.77
Eswatini,SWZ,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,23.77
Eswatini,SWZ,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,26.92
Eswatini,SWZ,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,39.7
Eswatini,SWZ,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,44.08
Eswatini,SWZ,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,13.23
Eswatini,SWZ,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,43.1
Eswatini,SWZ,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,31.58
Eswatini,SWZ,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,25.38
Eswatini,SWZ,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,25.57
Eswatini,SWZ,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,26.4
Eswatini,SWZ,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,26.4
Eswatini,SWZ,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,36.8
Eswatini,SWZ,1970,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,43.66
Eswatini,SWZ,2010,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,46.72
Eswatini,SWZ,2005,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,56.31
Eswatini,SWZ,2000,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,48.44
Eswatini,SWZ,1995,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,42.61
Eswatini,SWZ,1990,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,39.59
Eswatini,SWZ,1985,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,38.3
Eswatini,SWZ,1980,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,46.33
Eswatini,SWZ,1975,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,56.3
Eswatini,SWZ,1970,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,65.66
Eswatini,SWZ,2010,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,44.82
Eswatini,SWZ,2005,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,55.66
Eswatini,SWZ,2000,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,48.68
Eswatini,SWZ,1995,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,44.17
Eswatini,SWZ,1990,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,42.26
Eswatini,SWZ,1985,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,42.32
Eswatini,SWZ,1980,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,47.03
Eswatini,SWZ,1975,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,53.6
Eswatini,SWZ,1970,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,63.21
Eswatini,SWZ,2010,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,40.06
Eswatini,SWZ,2005,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,44.24
Eswatini,SWZ,2000,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,35.91
Eswatini,SWZ,1995,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,34.17
Eswatini,SWZ,1990,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,30.66
Eswatini,SWZ,1985,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,23.77
Eswatini,SWZ,1980,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,36.44
Eswatini,SWZ,1975,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,39.7
Eswatini,SWZ,1970,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,59.39
Eswatini,SWZ,2010,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,43.09
Eswatini,SWZ,2005,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,45.48
Eswatini,SWZ,2000,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,36.12
Eswatini,SWZ,1995,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,33.66
Eswatini,SWZ,1990,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,32.5
Eswatini,SWZ,1985,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,26.4
Eswatini,SWZ,1980,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,37.17
Eswatini,SWZ,1975,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,36.8
Eswatini,SWZ,1970,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,55.63
Eswatini,SWZ,2010,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,44.23
Eswatini,SWZ,2005,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,49.01
Eswatini,SWZ,2000,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,44.4
Eswatini,SWZ,1995,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,39.05
Eswatini,SWZ,1990,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,31.6
Eswatini,SWZ,1985,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,32.51
Eswatini,SWZ,1980,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,36.44
Eswatini,SWZ,1975,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,53.6
Eswatini,SWZ,1970,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,59.39
Eswatini,SWZ,2010,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,45.48
Eswatini,SWZ,2005,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,49.21
Eswatini,SWZ,2000,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,43.51
Eswatini,SWZ,1995,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,39.93
Eswatini,SWZ,1990,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,33.23
Eswatini,SWZ,1985,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,37.62
Eswatini,SWZ,1980,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,37.17
Eswatini,SWZ,1975,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,50
Eswatini,SWZ,1970,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,55.63
Eswatini,SWZ,2010,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,48.99
Eswatini,SWZ,2005,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,56.88
Eswatini,SWZ,2000,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,49.27
Eswatini,SWZ,1995,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,41.15
