Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Fiji,FJI,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.32
Fiji,FJI,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0
Fiji,FJI,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.88
Fiji,FJI,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.56
Fiji,FJI,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.19
Fiji,FJI,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.2
Fiji,FJI,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.85
Fiji,FJI,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.7
Fiji,FJI,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.79
Fiji,FJI,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.26
Fiji,FJI,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0
Fiji,FJI,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.76
Fiji,FJI,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.1
Fiji,FJI,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.1
Fiji,FJI,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.1
Fiji,FJI,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.51
Fiji,FJI,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.5
Fiji,FJI,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.63
Fiji,FJI,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.24
Fiji,FJI,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.2
Fiji,FJI,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.66
Fiji,FJI,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.71
Fiji,FJI,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.81
Fiji,FJI,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.4
Fiji,FJI,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.75
Fiji,FJI,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,19.09
Fiji,FJI,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.69
Fiji,FJI,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.44
Fiji,FJI,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,3.1
Fiji,FJI,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.11
Fiji,FJI,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.48
Fiji,FJI,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.55
Fiji,FJI,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.7
Fiji,FJI,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.67
Fiji,FJI,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,14.22
Fiji,FJI,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,17.47
Fiji,FJI,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.42
Fiji,FJI,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.5
Fiji,FJI,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.9
Fiji,FJI,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.47
Fiji,FJI,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.01
Fiji,FJI,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.9
Fiji,FJI,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,5.2
Fiji,FJI,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,7.5
Fiji,FJI,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,12.9
Fiji,FJI,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.35
Fiji,FJI,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.6
Fiji,FJI,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1
Fiji,FJI,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.83
Fiji,FJI,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.85
Fiji,FJI,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.6
Fiji,FJI,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.8
Fiji,FJI,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,5.5
Fiji,FJI,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,8.79
