Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Gabon,GAB,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.7
Gabon,GAB,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.15
Gabon,GAB,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.18
Gabon,GAB,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.28
Gabon,GAB,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.86
Gabon,GAB,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.86
Gabon,GAB,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.09
Gabon,GAB,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.54
Gabon,GAB,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,27.56
Gabon,GAB,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.24
Gabon,GAB,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.12
Gabon,GAB,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.13
Gabon,GAB,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.6
Gabon,GAB,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,24.33
Gabon,GAB,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,32.19
Gabon,GAB,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,36.03
Gabon,GAB,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,30.35
Gabon,GAB,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,20.6
Gabon,GAB,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.96
Gabon,GAB,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,15.42
Gabon,GAB,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,18.44
Gabon,GAB,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,24.46
Gabon,GAB,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,30.54
Gabon,GAB,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,36.82
Gabon,GAB,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,44.19
Gabon,GAB,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,52.47
Gabon,GAB,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,62.71
Gabon,GAB,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,14.68
Gabon,GAB,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,17.76
Gabon,GAB,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,22.15
Gabon,GAB,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,29.25
Gabon,GAB,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,39.68
Gabon,GAB,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,48.02
Gabon,GAB,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,57.07
Gabon,GAB,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,64.37
Gabon,GAB,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,71.63
Gabon,GAB,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,8.48
Gabon,GAB,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,3.48
Gabon,GAB,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.77
Gabon,GAB,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,7.9
Gabon,GAB,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,14.19
Gabon,GAB,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,14.19
Gabon,GAB,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,18.97
Gabon,GAB,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,18.97
Gabon,GAB,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,35.25
Gabon,GAB,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,6.47
Gabon,GAB,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.47
Gabon,GAB,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.8
Gabon,GAB,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,8.9
Gabon,GAB,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,14.43
Gabon,GAB,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,14.43
Gabon,GAB,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,24.56
Gabon,GAB,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,24.56
Gabon,GAB,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,55.67
Gabon,GAB,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,3.48
Gabon,GAB,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,2.77
Gabon,GAB,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,7.9
Gabon,GAB,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,14.19
Gabon,GAB,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,14.19
Gabon,GAB,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,18.97
