Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Ghana,GHA,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,12.16
Ghana,GHA,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,19.08
Ghana,GHA,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,37.8
Ghana,GHA,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,37.22
Ghana,GHA,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,35.1
Ghana,GHA,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,34
Ghana,GHA,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,36.1
Ghana,GHA,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,22.85
Ghana,GHA,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,37.8
Ghana,GHA,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.06
Ghana,GHA,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,17.4
Ghana,GHA,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,28.8
Ghana,GHA,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,28.76
Ghana,GHA,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,21.92
Ghana,GHA,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.85
Ghana,GHA,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,17.95
Ghana,GHA,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,13.73
Ghana,GHA,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,28.8
Ghana,GHA,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,37.07
Ghana,GHA,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,38.58
Ghana,GHA,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,45.31
Ghana,GHA,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,49.11
Ghana,GHA,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,52.87
Ghana,GHA,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,57.27
Ghana,GHA,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,62.48
Ghana,GHA,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,66.71
Ghana,GHA,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,75.16
Ghana,GHA,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,30.41
Ghana,GHA,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,31.3
Ghana,GHA,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,35.05
Ghana,GHA,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,38.81
Ghana,GHA,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,41.47
Ghana,GHA,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,45.43
Ghana,GHA,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,50.96
Ghana,GHA,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,56.37
Ghana,GHA,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,63.96
Ghana,GHA,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,21.61
Ghana,GHA,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,28.18
Ghana,GHA,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,37.8
Ghana,GHA,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,37.82
Ghana,GHA,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,39.34
Ghana,GHA,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,42.5
Ghana,GHA,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,36.72
Ghana,GHA,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,49.26
Ghana,GHA,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,63.2
Ghana,GHA,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,17.86
Ghana,GHA,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,23.53
Ghana,GHA,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,28.8
Ghana,GHA,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,28.8
Ghana,GHA,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,28.49
Ghana,GHA,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,30.48
Ghana,GHA,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,30.32
Ghana,GHA,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,44.44
Ghana,GHA,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,48.3
Ghana,GHA,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,28.18
Ghana,GHA,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,36.41
Ghana,GHA,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,37.8
Ghana,GHA,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,39.34
Ghana,GHA,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,42.5
Ghana,GHA,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,36.72
Ghana,GHA,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,49.26
Ghana,GHA,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,63.17
Ghana,GHA,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,80.3
Ghana,GHA,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,23.53
Ghana,GHA,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,28.68
Ghana,GHA,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,28.8
Ghana,GHA,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,28.49
Ghana,GHA,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,30.48
Ghana,GHA,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,30.32
Ghana,GHA,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,44.44
Ghana,GHA,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,48.26
