Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Greece,GRC,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.07
Greece,GRC,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.58
Greece,GRC,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.37
Greece,GRC,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.38
Greece,GRC,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.02
Greece,GRC,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.54
Greece,GRC,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.1
Greece,GRC,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.6
Greece,GRC,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.59
Greece,GRC,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.2
Greece,GRC,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.42
Greece,GRC,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.42
Greece,GRC,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.42
Greece,GRC,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.01
Greece,GRC,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.22
Greece,GRC,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1
Greece,GRC,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.48
Greece,GRC,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.49
Greece,GRC,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.44
Greece,GRC,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.18
Greece,GRC,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.18
Greece,GRC,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.33
Greece,GRC,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.62
Greece,GRC,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,12.38
Greece,GRC,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.78
Greece,GRC,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.37
Greece,GRC,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,20.03
Greece,GRC,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.51
Greece,GRC,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.93
Greece,GRC,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.93
Greece,GRC,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.02
Greece,GRC,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.37
Greece,GRC,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,8.31
Greece,GRC,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.57
Greece,GRC,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,11.3
