Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Guatemala,GTM,2014,Coverage: Finished Primary School,2.0.cov.FPS,62.9875410420694
Guatemala,GTM,2012,Coverage: Finished Primary School,2.0.cov.FPS,61.5946474117649
Guatemala,GTM,2000,Coverage: Finished Primary School,2.0.cov.FPS,37.1804605405232
Guatemala,GTM,2014,HOI: Finished Primary School,2.0.hoi.FPS,55.6847504236741
Guatemala,GTM,2012,HOI: Finished Primary School,2.0.hoi.FPS,53.5992419518647
Guatemala,GTM,2000,HOI: Finished Primary School,2.0.hoi.FPS,26.0817974963577
Guatemala,GTM,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.08
Guatemala,GTM,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.21
Guatemala,GTM,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,22.6
Guatemala,GTM,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,24.94
Guatemala,GTM,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,28.57
Guatemala,GTM,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,34.11
Guatemala,GTM,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,39.2
Guatemala,GTM,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,45.36
Guatemala,GTM,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,54.82
Guatemala,GTM,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.81
Guatemala,GTM,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,15.58
Guatemala,GTM,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,19.3
Guatemala,GTM,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.26
Guatemala,GTM,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,25.18
Guatemala,GTM,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,29.56
Guatemala,GTM,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,33.7
Guatemala,GTM,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,42.97
Guatemala,GTM,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,52.44
Guatemala,GTM,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.16
Guatemala,GTM,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,37.9
Guatemala,GTM,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,39.5
Guatemala,GTM,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,42.1
Guatemala,GTM,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,46.3
