Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Guinea-Bissau,GNB,2006,MICS: Gross attendance rate. Post Secondary,HH.MICS.GAR.456,0.31747924355798
Guinea-Bissau,GNB,2006,MICS: Gross attendance rate. Post Secondary. Female,HH.MICS.GAR.456.F,0.420351545669098
Guinea-Bissau,GNB,2006,MICS: Gross attendance rate. Post Secondary. Male,HH.MICS.GAR.456.M,0.191607513584188
Guinea-Bissau,GNB,2006,MICS: Gross attendance rate. Post Secondary. Quintile 1,HH.MICS.GAR.456.Q1,0
Guinea-Bissau,GNB,2006,MICS: Gross attendance rate. Post Secondary. Quintile 2,HH.MICS.GAR.456.Q2,0
Guinea-Bissau,GNB,2006,MICS: Gross attendance rate. Post Secondary. Quintile 3,HH.MICS.GAR.456.Q3,0
Guinea-Bissau,GNB,2006,MICS: Gross attendance rate. Post Secondary. Quintile 4,HH.MICS.GAR.456.Q4,0
Guinea-Bissau,GNB,2006,MICS: Gross attendance rate. Post Secondary. Quintile 5,HH.MICS.GAR.456.Q5,1.13805904229972
Guinea-Bissau,GNB,2006,MICS: Gross attendance rate. Post Secondary. Rural,HH.MICS.GAR.456.R,0
Guinea-Bissau,GNB,2006,MICS: Gross attendance rate. Post Secondary. Urban,HH.MICS.GAR.456.U,0.715419865765456
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Primary,HH.MICS.NAR.1,88.3033749600142
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Primary. Female,HH.MICS.NAR.1.F,87.3554986573929
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Primary. Male,HH.MICS.NAR.1.M,89.1571117377411
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Primary. Quintile 1,HH.MICS.NAR.1.Q1,87.8747979022665
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Primary. Quintile 2,HH.MICS.NAR.1.Q2,89.2298587826959
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Primary. Quintile 3,HH.MICS.NAR.1.Q3,87.3986536838186
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Primary. Quintile 4,HH.MICS.NAR.1.Q4,88.4931605041138
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Primary. Quintile 5,HH.MICS.NAR.1.Q5,88.46032547584
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Primary. Rural,HH.MICS.NAR.1.R,88.0619149852099
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Primary. Urban,HH.MICS.NAR.1.U,88.6286453944082
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Secondary,HH.MICS.NAR.23,17.3022572400438
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Secondary. Female,HH.MICS.NAR.23.F,15.7166807347168
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Secondary. Male,HH.MICS.NAR.23.M,18.6631974857876
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Secondary. Quintile 1,HH.MICS.NAR.23.Q1,5.11822994337905
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Secondary. Quintile 2,HH.MICS.NAR.23.Q2,6.56315901007718
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Secondary. Quintile 3,HH.MICS.NAR.23.Q3,7.43588649325367
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Secondary. Quintile 4,HH.MICS.NAR.23.Q4,16.7927652738965
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Secondary. Quintile 5,HH.MICS.NAR.23.Q5,30.8996268098462
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Secondary. Rural,HH.MICS.NAR.23.R,7.70229721714626
Guinea-Bissau,GNB,2006,MICS: Net attendance rate. Secondary. Urban,HH.MICS.NAR.23.U,24.9785311030691
Guinea-Bissau,GNB,2006,MICS: Proportion of out-of-school. Primary,HH.MICS.OOS.1,11.1161148244348
