Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Guyana,GUY,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.7
Guyana,GUY,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.79
Guyana,GUY,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.1
Guyana,GUY,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.52
Guyana,GUY,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.02
Guyana,GUY,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.09
Guyana,GUY,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.6
Guyana,GUY,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.48
Guyana,GUY,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.6
Guyana,GUY,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.81
Guyana,GUY,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.3
Guyana,GUY,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.7
Guyana,GUY,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.34
Guyana,GUY,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.13
Guyana,GUY,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.79
Guyana,GUY,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.7
Guyana,GUY,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.46
Guyana,GUY,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.6
Guyana,GUY,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.83
Guyana,GUY,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.98
Guyana,GUY,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,6.3
Guyana,GUY,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.23
Guyana,GUY,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.67
Guyana,GUY,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.68
Guyana,GUY,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.15
Guyana,GUY,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.85
Guyana,GUY,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.78
Guyana,GUY,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.79
Guyana,GUY,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.94
Guyana,GUY,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.3
Guyana,GUY,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.24
Guyana,GUY,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.15
Guyana,GUY,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.86
Guyana,GUY,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.61
Guyana,GUY,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.82
Guyana,GUY,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,8.39
Guyana,GUY,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,6.2
Guyana,GUY,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.51
Guyana,GUY,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.1
Guyana,GUY,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.1
Guyana,GUY,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,7.32
Guyana,GUY,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,7.37
Guyana,GUY,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.55
Guyana,GUY,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.3
Guyana,GUY,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.6
Guyana,GUY,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,5.65
Guyana,GUY,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.05
Guyana,GUY,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,4.7
Guyana,GUY,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,4.7
Guyana,GUY,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,5
Guyana,GUY,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,5.24
Guyana,GUY,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.7
Guyana,GUY,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.2
Guyana,GUY,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.3
Guyana,GUY,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.51
Guyana,GUY,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,4.1
Guyana,GUY,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,4.1
Guyana,GUY,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,7.32
Guyana,GUY,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,7.22
Guyana,GUY,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,2.23
Guyana,GUY,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,2.3
Guyana,GUY,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,2.46
Guyana,GUY,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,5.4
Guyana,GUY,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,2.05
Guyana,GUY,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,4.7
Guyana,GUY,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,4.7
