Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Haiti,HTI,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.08
Haiti,HTI,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.84
Haiti,HTI,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,43.28
Haiti,HTI,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,22.97
Haiti,HTI,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,25.75
Haiti,HTI,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,39.64
Haiti,HTI,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,44.8
Haiti,HTI,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,56.46
Haiti,HTI,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,68.6
Haiti,HTI,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.07
Haiti,HTI,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.06
Haiti,HTI,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,24.79
Haiti,HTI,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.77
Haiti,HTI,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,18.42
Haiti,HTI,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,20.2
Haiti,HTI,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,44.1
Haiti,HTI,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,55.87
Haiti,HTI,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,65.7
Haiti,HTI,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,36.6
Haiti,HTI,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,43.22
Haiti,HTI,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,50.78
Haiti,HTI,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,52.21
Haiti,HTI,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,58.55
Haiti,HTI,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,65.91
Haiti,HTI,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,71.61
Haiti,HTI,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,78.27
Haiti,HTI,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,83.31
Haiti,HTI,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,25.74
Haiti,HTI,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,30.53
Haiti,HTI,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,36.04
Haiti,HTI,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,38.73
Haiti,HTI,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,43.83
Haiti,HTI,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,48.52
Haiti,HTI,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,67.44
Haiti,HTI,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,73.99
Haiti,HTI,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,78.5
Haiti,HTI,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,10.87
Haiti,HTI,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,48.3
Haiti,HTI,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,30.89
Haiti,HTI,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,33.58
Haiti,HTI,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,41.31
Haiti,HTI,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,47.34
Haiti,HTI,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,59.1
Haiti,HTI,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,73.1
Haiti,HTI,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,76.2
Haiti,HTI,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,15.25
Haiti,HTI,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,28.5
Haiti,HTI,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,22.99
Haiti,HTI,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,24.67
Haiti,HTI,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,29.55
Haiti,HTI,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,33.57
Haiti,HTI,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,54.7
Haiti,HTI,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,68.1
Haiti,HTI,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,69.6
Haiti,HTI,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,56.3
Haiti,HTI,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,30.89
Haiti,HTI,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,33.58
Haiti,HTI,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,41.31
Haiti,HTI,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,47.34
Haiti,HTI,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,59.04
Haiti,HTI,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,73.1
Haiti,HTI,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,74.8
Haiti,HTI,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,83.8
Haiti,HTI,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,28.5
Haiti,HTI,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,22.99
Haiti,HTI,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,24.67
Haiti,HTI,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,29.55
Haiti,HTI,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,33.57
Haiti,HTI,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,44.4
Haiti,HTI,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,68.1
Haiti,HTI,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,68.92
Haiti,HTI,1970,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,77.5
Haiti,HTI,2010,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,51.98
Haiti,HTI,2005,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,51.68
Haiti,HTI,2000,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,58.04
Haiti,HTI,1995,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,64.68
Haiti,HTI,1990,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,70.68
Haiti,HTI,1985,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,76.74
Haiti,HTI,1980,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,81.3
Haiti,HTI,1975,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,84.81
Haiti,HTI,1970,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,88
Haiti,HTI,2010,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,35.12
Haiti,HTI,2005,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,38.04
Haiti,HTI,2000,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,43.21
Haiti,HTI,1995,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,48.75
Haiti,HTI,1990,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,54.05
Haiti,HTI,1985,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,59.65
Haiti,HTI,1980,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,77
Haiti,HTI,1975,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,79.99
Haiti,HTI,1970,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,83.5
Haiti,HTI,2010,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,30.89
Haiti,HTI,2005,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,33.58
Haiti,HTI,2000,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,41.31
Haiti,HTI,1995,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,47.34
Haiti,HTI,1990,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,59.04
