Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Honduras,HND,2014,Coverage: Finished Primary School,2.0.cov.FPS,69.4197822700943
Honduras,HND,2012,Coverage: Finished Primary School,2.0.cov.FPS,66.2606667934924
Honduras,HND,2000,Coverage: Finished Primary School,2.0.cov.FPS,49.6358091319206
Honduras,HND,2014,HOI: Finished Primary School,2.0.hoi.FPS,62.7705703320329
Honduras,HND,2012,HOI: Finished Primary School,2.0.hoi.FPS,59.6742884069229
Honduras,HND,2000,HOI: Finished Primary School,2.0.hoi.FPS,41.102854134627
Honduras,HND,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.22
Honduras,HND,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.11
Honduras,HND,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.18
Honduras,HND,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.46
Honduras,HND,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.56
Honduras,HND,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,9.8
Honduras,HND,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,16.6
Honduras,HND,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,25.3
Honduras,HND,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,31.25
Honduras,HND,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.37
Honduras,HND,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.23
Honduras,HND,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.23
Honduras,HND,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.38
Honduras,HND,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.33
Honduras,HND,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.3
Honduras,HND,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,19.32
Honduras,HND,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,27.2
Honduras,HND,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,28.49
Honduras,HND,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.69
Honduras,HND,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.84
Honduras,HND,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,15.88
Honduras,HND,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,18.6
Honduras,HND,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,21.52
Honduras,HND,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,24.96
Honduras,HND,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,34.35
Honduras,HND,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,45.84
Honduras,HND,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,51.27
Honduras,HND,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,13.58
Honduras,HND,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,13.55
Honduras,HND,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,15.24
Honduras,HND,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,17.68
Honduras,HND,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,20.97
Honduras,HND,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,24.72
Honduras,HND,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,33.63
Honduras,HND,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,43.89
Honduras,HND,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,48.08
Honduras,HND,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,3.87
Honduras,HND,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,6.89
Honduras,HND,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,6.21
Honduras,HND,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,9.73
Honduras,HND,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,14.19
Honduras,HND,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,13.6
Honduras,HND,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,16.7
Honduras,HND,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,31.4
Honduras,HND,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,42.6
Honduras,HND,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,4.49
Honduras,HND,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,6.74
Honduras,HND,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,6.94
Honduras,HND,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,8.8
Honduras,HND,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,12.4
Honduras,HND,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,13.8
Honduras,HND,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,17.1
Honduras,HND,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,31.1
Honduras,HND,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,41.1
Honduras,HND,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,6.89
Honduras,HND,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,6.21
Honduras,HND,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,9.73
Honduras,HND,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,14.19
Honduras,HND,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,14.03
Honduras,HND,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,16.7
Honduras,HND,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,24.79
Honduras,HND,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,42.6
Honduras,HND,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,43.21
Honduras,HND,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,6.74
Honduras,HND,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,6.94
Honduras,HND,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,8.8
Honduras,HND,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,12.4
Honduras,HND,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,14.24
Honduras,HND,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,17.1
Honduras,HND,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,24.79
Honduras,HND,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,41.1
Honduras,HND,1970,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,41.87
Honduras,HND,2010,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,18.83
Honduras,HND,2005,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,18.74
Honduras,HND,2000,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,21.99
Honduras,HND,1995,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,25.4
Honduras,HND,1990,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,28.71
Honduras,HND,1985,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,34.1
Honduras,HND,1980,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,44.92
Honduras,HND,1975,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,56.3
Honduras,HND,1970,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,59.53
Honduras,HND,2010,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,18.72
Honduras,HND,2005,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,18.12
Honduras,HND,2000,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,20.94
Honduras,HND,1995,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,24.38
Honduras,HND,1990,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,27.92
Honduras,HND,1985,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,33.5
Honduras,HND,1980,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,42.89
Honduras,HND,1975,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,53.1
Honduras,HND,1970,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,55.94
Honduras,HND,2010,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,8.66
Honduras,HND,2005,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,10.82
Honduras,HND,2000,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,13.64
Honduras,HND,1995,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,14.54
Honduras,HND,1990,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,16.72
Honduras,HND,1985,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,16.7
Honduras,HND,1980,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,37.43
Honduras,HND,1975,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,42.6
Honduras,HND,1970,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,56.24
Honduras,HND,2010,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,9.67
Honduras,HND,2005,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,10.49
Honduras,HND,2000,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,12.44
Honduras,HND,1995,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,14.75
Honduras,HND,1990,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,17.1
Honduras,HND,1985,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,17.1
Honduras,HND,1980,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,36.5
Honduras,HND,1975,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,41.1
Honduras,HND,1970,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,54.44
Honduras,HND,2010,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,12.14
Honduras,HND,2005,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,12.97
Honduras,HND,2000,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,15.16
Honduras,HND,1995,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,16.74
Honduras,HND,1990,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,18.23
Honduras,HND,1985,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,31.1
Honduras,HND,1980,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,37.43
Honduras,HND,1975,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,58.8
Honduras,HND,1970,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,59.87
Honduras,HND,2010,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,12.55
Honduras,HND,2005,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,12.49
Honduras,HND,2000,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,15.38
Honduras,HND,1995,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,17.09
Honduras,HND,1990,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,18.22
Honduras,HND,1985,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,30.9
Honduras,HND,1980,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,36.5
Honduras,HND,1975,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,54.7
Honduras,HND,1970,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,55.77
Honduras,HND,2010,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,12.14
Honduras,HND,2005,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,15.92
Honduras,HND,2000,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,16.77
Honduras,HND,1995,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,20.09
Honduras,HND,1990,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,30.79
Honduras,HND,1985,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,31.1
Honduras,HND,1980,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,53.06
Honduras,HND,1975,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,58.8
