Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
India,IND,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.09
India,IND,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,12.62
India,IND,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,30.22
India,IND,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,37.21
India,IND,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,45.11
India,IND,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,55.22
India,IND,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,62.5
India,IND,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,62.36
India,IND,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,63.1
India,IND,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.13
India,IND,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.53
India,IND,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.81
India,IND,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,25.36
India,IND,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,34.23
India,IND,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,41.42
India,IND,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,51.6
India,IND,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,44.36
India,IND,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,49.2
India,IND,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,47.22
India,IND,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,53.5
India,IND,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,52.35
India,IND,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,64.11
India,IND,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,66.34
India,IND,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,72.84
India,IND,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,78.96
India,IND,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,80.43
India,IND,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,80.93
India,IND,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,33.16
India,IND,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,37.95
India,IND,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,43.98
India,IND,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,47.79
India,IND,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,51.62
India,IND,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,58.54
India,IND,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,66.3
India,IND,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,65.86
India,IND,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,66.24
India,IND,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,17.02
India,IND,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,32.94
India,IND,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,40.8
India,IND,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,49.13
