Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Indonesia,IDN,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.92
Indonesia,IDN,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.65
Indonesia,IDN,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.67
Indonesia,IDN,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.58
Indonesia,IDN,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.13
Indonesia,IDN,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.92
Indonesia,IDN,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.2
Indonesia,IDN,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.27
Indonesia,IDN,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,23
Indonesia,IDN,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.9
Indonesia,IDN,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.97
Indonesia,IDN,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.1
Indonesia,IDN,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.02
Indonesia,IDN,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.14
Indonesia,IDN,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,15.24
Indonesia,IDN,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.2
Indonesia,IDN,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.56
Indonesia,IDN,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,18.6
Indonesia,IDN,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.54
Indonesia,IDN,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,18.03
Indonesia,IDN,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,26.07
Indonesia,IDN,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,37.88
Indonesia,IDN,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,50.1
Indonesia,IDN,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,48.09
Indonesia,IDN,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,42.08
Indonesia,IDN,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,49.61
Indonesia,IDN,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,57.68
Indonesia,IDN,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.5
Indonesia,IDN,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,14.53
