Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Iran, Islamic Rep.",IRN,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.06
"Iran, Islamic Rep.",IRN,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.4
"Iran, Islamic Rep.",IRN,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.26
"Iran, Islamic Rep.",IRN,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.89
"Iran, Islamic Rep.",IRN,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.44
"Iran, Islamic Rep.",IRN,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,21.44
"Iran, Islamic Rep.",IRN,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,36.16
"Iran, Islamic Rep.",IRN,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,51.53
"Iran, Islamic Rep.",IRN,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,62.59
"Iran, Islamic Rep.",IRN,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.06
"Iran, Islamic Rep.",IRN,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.6
"Iran, Islamic Rep.",IRN,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.09
"Iran, Islamic Rep.",IRN,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.82
"Iran, Islamic Rep.",IRN,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.12
"Iran, Islamic Rep.",IRN,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.08
"Iran, Islamic Rep.",IRN,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,21.53
"Iran, Islamic Rep.",IRN,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,41.39
"Iran, Islamic Rep.",IRN,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,50.44
"Iran, Islamic Rep.",IRN,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.24
"Iran, Islamic Rep.",IRN,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.19
"Iran, Islamic Rep.",IRN,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,26.93
"Iran, Islamic Rep.",IRN,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,37.02
"Iran, Islamic Rep.",IRN,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,48.2
"Iran, Islamic Rep.",IRN,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,57.84
"Iran, Islamic Rep.",IRN,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,68.25
"Iran, Islamic Rep.",IRN,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,77.14
"Iran, Islamic Rep.",IRN,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,83.5
"Iran, Islamic Rep.",IRN,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,14.18
"Iran, Islamic Rep.",IRN,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,17.53
"Iran, Islamic Rep.",IRN,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,21.28
"Iran, Islamic Rep.",IRN,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,29.34
"Iran, Islamic Rep.",IRN,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,39.05
"Iran, Islamic Rep.",IRN,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,47.83
"Iran, Islamic Rep.",IRN,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,58.15
