Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Iraq,IRQ,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,18.53
Iraq,IRQ,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,32.28
Iraq,IRQ,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.15
Iraq,IRQ,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,19.96
Iraq,IRQ,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.96
Iraq,IRQ,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,35.76
Iraq,IRQ,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,62.46
Iraq,IRQ,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,67.36
Iraq,IRQ,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,72.36
Iraq,IRQ,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.36
Iraq,IRQ,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,26.55
Iraq,IRQ,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,13.54
Iraq,IRQ,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.27
Iraq,IRQ,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.87
Iraq,IRQ,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,19.37
Iraq,IRQ,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,42.47
Iraq,IRQ,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,47.57
Iraq,IRQ,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,53.67
Iraq,IRQ,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,33.9
Iraq,IRQ,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,39
Iraq,IRQ,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,41.47
Iraq,IRQ,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,48.49
Iraq,IRQ,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,56.88
Iraq,IRQ,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,70.5
Iraq,IRQ,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,80.21
Iraq,IRQ,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,85.53
Iraq,IRQ,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,89.72
Iraq,IRQ,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,24.72
Iraq,IRQ,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,29.25
Iraq,IRQ,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,30.91
Iraq,IRQ,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,37.72
Iraq,IRQ,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,45.05
Iraq,IRQ,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,55.44
Iraq,IRQ,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,66.34
Iraq,IRQ,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,74
Iraq,IRQ,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,80.46
Iraq,IRQ,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,30.16
Iraq,IRQ,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,23.48
Iraq,IRQ,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,16.36
Iraq,IRQ,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,10.74
Iraq,IRQ,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,28.56
Iraq,IRQ,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,61.24
Iraq,IRQ,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,66.14
Iraq,IRQ,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,71.14
Iraq,IRQ,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,83.61
Iraq,IRQ,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,24.4
Iraq,IRQ,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,17.07
Iraq,IRQ,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,10.48
Iraq,IRQ,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,6.27
Iraq,IRQ,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,19.81
Iraq,IRQ,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,39.87
Iraq,IRQ,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,44.97
Iraq,IRQ,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,51.07
Iraq,IRQ,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,69.06
Iraq,IRQ,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,23.48
Iraq,IRQ,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,16.36
Iraq,IRQ,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,10.74
Iraq,IRQ,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,28.56
Iraq,IRQ,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,61.24
Iraq,IRQ,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,66.14
