Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Jamaica,JAM,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.17
Jamaica,JAM,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.6
Jamaica,JAM,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.7
Jamaica,JAM,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.97
Jamaica,JAM,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.72
Jamaica,JAM,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.63
Jamaica,JAM,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.5
Jamaica,JAM,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.9
Jamaica,JAM,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.9
Jamaica,JAM,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,10.47
Jamaica,JAM,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.89
Jamaica,JAM,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.81
Jamaica,JAM,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.99
Jamaica,JAM,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.81
Jamaica,JAM,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.04
Jamaica,JAM,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.9
Jamaica,JAM,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.85
Jamaica,JAM,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.2
Jamaica,JAM,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.75
Jamaica,JAM,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.33
Jamaica,JAM,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.79
Jamaica,JAM,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.76
Jamaica,JAM,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.2
Jamaica,JAM,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.32
