Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Jordan,JOR,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.93
Jordan,JOR,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.7
Jordan,JOR,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.59
Jordan,JOR,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.02
Jordan,JOR,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.48
Jordan,JOR,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.24
Jordan,JOR,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,19.8
Jordan,JOR,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.99
Jordan,JOR,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,28.49
Jordan,JOR,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.88
Jordan,JOR,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.04
Jordan,JOR,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.04
Jordan,JOR,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.49
Jordan,JOR,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.86
Jordan,JOR,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,14.11
Jordan,JOR,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,13.8
Jordan,JOR,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.13
Jordan,JOR,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,19.36
Jordan,JOR,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.5
Jordan,JOR,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,16.95
Jordan,JOR,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.02
Jordan,JOR,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.81
Jordan,JOR,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,39.22
Jordan,JOR,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,49.47
Jordan,JOR,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,59
Jordan,JOR,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,64.72
Jordan,JOR,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,71.02
Jordan,JOR,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.98
Jordan,JOR,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,13.16
Jordan,JOR,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,18.73
Jordan,JOR,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,24.04
Jordan,JOR,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,31.8
Jordan,JOR,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,40.92
Jordan,JOR,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,47.9
Jordan,JOR,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,51.2
Jordan,JOR,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,55.85
Jordan,JOR,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.27
Jordan,JOR,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.88
Jordan,JOR,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,3.6
Jordan,JOR,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,7.4
Jordan,JOR,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,16.8
Jordan,JOR,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,32.66
Jordan,JOR,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,34.7
Jordan,JOR,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,50.85
Jordan,JOR,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,58.79
Jordan,JOR,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.11
