Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.18
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.23
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.5
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.89
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.97
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,12.79
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,16.39
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.1
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.22
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.16
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.5
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.46
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.24
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.01
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,15.46
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.05
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.01
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.81
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.68
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.16
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,11.8
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,15.56
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,19.92
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,25.49
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.05
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.01
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.25
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,3.3
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.65
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,8.47
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,11.57
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,15.23
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,20.26
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.09
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.17
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.17
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.3
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.4
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.4
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.7
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.7
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.1
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.2
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.19
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.4
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.4
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.4
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.6
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.6
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.01
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.17
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.24
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.4
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.4
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.7
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.7
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,5.5
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.05
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.19
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.31
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.4
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.4
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.6
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.6
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,4.2
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,0.03
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,0.01
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,2.3
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,5.71
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,11
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,15.02
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,19.78
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,25.04
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,30.75
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,0.04
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,0.02
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,1.59
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,3.98
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,7.7
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,10.81
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,14.67
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,19.06
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,24.44
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,0.01
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,0
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,0.17
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,0.29
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,0.4
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,0.7
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,0.7
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,5.5
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,5.5
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,0.05
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,0
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,0.19
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,0.3
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,0.4
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,0.6
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,0.6
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,4.2
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,4.2
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,0
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,0
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,0.15
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,0.29
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,0.7
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,0.7
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,5.5
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,5.5
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,15.98
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,0
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,0
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,0.17
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,0.3
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,0.6
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,0.6
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,4.2
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,4.2
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,12.8
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,0
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,0
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,0.15
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,0.52
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,0.7
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,5.5
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,5.5
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,15.98
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,14.7
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,0
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,0
Kazakhstan,KAZ,2000,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,0.17
Kazakhstan,KAZ,1995,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,0.44
Kazakhstan,KAZ,1990,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,0.6
Kazakhstan,KAZ,1985,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,4.2
Kazakhstan,KAZ,1980,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,4.2
Kazakhstan,KAZ,1975,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,12.8
Kazakhstan,KAZ,1970,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,12.19
Kazakhstan,KAZ,2010,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,0
Kazakhstan,KAZ,2005,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,0
