Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Korea, Dem. People’s Rep.",PRK,2018,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,737272
"Korea, Dem. People’s Rep.",PRK,2015,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,665638
"Korea, Dem. People’s Rep.",PRK,2009,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,754370
"Korea, Dem. People’s Rep.",PRK,2018,"Teachers in primary education, female (number)",SE.PRM.TCHR.FE,61076
"Korea, Dem. People’s Rep.",PRK,2015,"Teachers in primary education, female (number)",SE.PRM.TCHR.FE,55864
"Korea, Dem. People’s Rep.",PRK,2009,"Teachers in primary education, female (number)",SE.PRM.TCHR.FE,60997
"Korea, Dem. People’s Rep.",PRK,2018,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2017,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2016,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2015,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2014,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2013,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2012,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2011,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2010,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2009,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2008,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2007,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2006,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2005,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2004,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2003,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2002,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2001,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2000,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1999,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1998,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1997,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1996,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1995,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1994,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1993,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1992,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1991,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1990,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1989,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1988,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1987,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1986,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1985,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1984,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1983,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1982,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1981,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1980,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1979,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1978,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1977,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1976,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1975,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1974,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1973,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1972,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1971,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,1970,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3
"Korea, Dem. People’s Rep.",PRK,2018,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2017,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2016,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2015,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2014,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2013,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2012,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2011,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2010,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2009,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2008,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2007,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2006,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2005,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2004,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2003,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2002,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2001,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,2000,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,1999,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,1998,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,1997,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,1996,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,1995,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,1994,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
"Korea, Dem. People’s Rep.",PRK,1993,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3
