Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Kuwait,KWT,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.21
Kuwait,KWT,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.22
Kuwait,KWT,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.18
Kuwait,KWT,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.26
Kuwait,KWT,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.89
Kuwait,KWT,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,16.45
Kuwait,KWT,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,25.9
Kuwait,KWT,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,36.6
Kuwait,KWT,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,35.7
Kuwait,KWT,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.2
Kuwait,KWT,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.18
Kuwait,KWT,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.78
Kuwait,KWT,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.11
Kuwait,KWT,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2
Kuwait,KWT,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.64
Kuwait,KWT,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,24.6
Kuwait,KWT,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,33.2
Kuwait,KWT,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,27.4
Kuwait,KWT,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.21
Kuwait,KWT,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.17
Kuwait,KWT,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,24.87
Kuwait,KWT,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,41.03
Kuwait,KWT,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,40.53
Kuwait,KWT,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,42.78
Kuwait,KWT,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,51.83
Kuwait,KWT,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,62.74
Kuwait,KWT,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,58.45
Kuwait,KWT,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.09
Kuwait,KWT,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.72
Kuwait,KWT,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,23.2
Kuwait,KWT,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,39.6
Kuwait,KWT,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,40.84
Kuwait,KWT,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,44.76
Kuwait,KWT,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,50.66
Kuwait,KWT,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,58.64
Kuwait,KWT,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,44.84
Kuwait,KWT,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.01
Kuwait,KWT,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.45
Kuwait,KWT,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.57
Kuwait,KWT,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,28.39
Kuwait,KWT,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,40.67
Kuwait,KWT,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,40.47
Kuwait,KWT,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,37.8
Kuwait,KWT,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,49.4
Kuwait,KWT,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,43.7
Kuwait,KWT,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.12
Kuwait,KWT,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.33
