Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Kyrgyz Republic,KGZ,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.2
Kyrgyz Republic,KGZ,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.03
Kyrgyz Republic,KGZ,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.28
Kyrgyz Republic,KGZ,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.72
Kyrgyz Republic,KGZ,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.11
Kyrgyz Republic,KGZ,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.47
Kyrgyz Republic,KGZ,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.8
Kyrgyz Republic,KGZ,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.1
Kyrgyz Republic,KGZ,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.38
Kyrgyz Republic,KGZ,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.25
Kyrgyz Republic,KGZ,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.21
Kyrgyz Republic,KGZ,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.34
Kyrgyz Republic,KGZ,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.18
Kyrgyz Republic,KGZ,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.96
Kyrgyz Republic,KGZ,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.71
Kyrgyz Republic,KGZ,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.45
Kyrgyz Republic,KGZ,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.16
Kyrgyz Republic,KGZ,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,10.86
Kyrgyz Republic,KGZ,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.02
Kyrgyz Republic,KGZ,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.78
Kyrgyz Republic,KGZ,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.66
Kyrgyz Republic,KGZ,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.5
Kyrgyz Republic,KGZ,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.19
Kyrgyz Republic,KGZ,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.08
Kyrgyz Republic,KGZ,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.22
Kyrgyz Republic,KGZ,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.18
