Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Lao PDR,LAO,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,25.41
Lao PDR,LAO,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,28.59
Lao PDR,LAO,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,31.43
Lao PDR,LAO,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,34.17
Lao PDR,LAO,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,36.54
Lao PDR,LAO,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,39.08
Lao PDR,LAO,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,41.54
Lao PDR,LAO,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,43.9
Lao PDR,LAO,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,46.18
Lao PDR,LAO,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.97
Lao PDR,LAO,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,24.55
Lao PDR,LAO,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,25.75
Lao PDR,LAO,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,26.93
Lao PDR,LAO,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,27.89
Lao PDR,LAO,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,28.99
Lao PDR,LAO,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,30.11
Lao PDR,LAO,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,31.22
Lao PDR,LAO,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,32.31
Lao PDR,LAO,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,38.64
Lao PDR,LAO,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,42.62
Lao PDR,LAO,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,47.14
Lao PDR,LAO,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,51.84
Lao PDR,LAO,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,56.92
Lao PDR,LAO,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,62.7
Lao PDR,LAO,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,68.05
Lao PDR,LAO,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,73.79
Lao PDR,LAO,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,78.7
Lao PDR,LAO,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,31.19
Lao PDR,LAO,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,33.53
Lao PDR,LAO,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,36.28
Lao PDR,LAO,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,39.45
Lao PDR,LAO,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,43.16
Lao PDR,LAO,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,47.49
Lao PDR,LAO,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,51.2
Lao PDR,LAO,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,56.32
Lao PDR,LAO,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,61.15
Lao PDR,LAO,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,28.53
Lao PDR,LAO,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,31.37
Lao PDR,LAO,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,34.1
Lao PDR,LAO,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,36.74
Lao PDR,LAO,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,39.44
Lao PDR,LAO,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,40.7
Lao PDR,LAO,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,48.4
Lao PDR,LAO,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,59.06
Lao PDR,LAO,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,68.7
Lao PDR,LAO,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,26.39
Lao PDR,LAO,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,27.58
Lao PDR,LAO,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,28.77
Lao PDR,LAO,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,29.93
Lao PDR,LAO,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,32.03
Lao PDR,LAO,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,31.23
Lao PDR,LAO,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,34.47
Lao PDR,LAO,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,41.06
Lao PDR,LAO,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,49.05
Lao PDR,LAO,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,31.37
Lao PDR,LAO,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,34.1
Lao PDR,LAO,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,36.74
Lao PDR,LAO,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,39.44
Lao PDR,LAO,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,40.7
Lao PDR,LAO,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,48.4
Lao PDR,LAO,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,59.06
Lao PDR,LAO,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,68.7
Lao PDR,LAO,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,80.08
Lao PDR,LAO,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,27.58
Lao PDR,LAO,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,28.77
Lao PDR,LAO,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,29.93
Lao PDR,LAO,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,32.03
Lao PDR,LAO,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,31.23
Lao PDR,LAO,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,34.47
Lao PDR,LAO,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,41.06
