Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Latvia,LVA,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.02
Latvia,LVA,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.09
Latvia,LVA,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.24
Latvia,LVA,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.27
Latvia,LVA,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.2
Latvia,LVA,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.69
Latvia,LVA,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.35
Latvia,LVA,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.8
Latvia,LVA,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.26
Latvia,LVA,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.47
Latvia,LVA,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.09
Latvia,LVA,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.28
Latvia,LVA,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.43
Latvia,LVA,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.2
Latvia,LVA,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.15
Latvia,LVA,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.46
Latvia,LVA,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.34
Latvia,LVA,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.22
Latvia,LVA,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.34
Latvia,LVA,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.26
Latvia,LVA,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.67
Latvia,LVA,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.53
Latvia,LVA,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.8
Latvia,LVA,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.05
Latvia,LVA,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.36
Latvia,LVA,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.67
Latvia,LVA,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.87
Latvia,LVA,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.3
Latvia,LVA,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.23
Latvia,LVA,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.65
Latvia,LVA,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.4
Latvia,LVA,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.54
Latvia,LVA,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.77
Latvia,LVA,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.08
Latvia,LVA,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.37
Latvia,LVA,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.47
Latvia,LVA,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.09
Latvia,LVA,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.11
Latvia,LVA,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.26
Latvia,LVA,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.2
Latvia,LVA,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.2
Latvia,LVA,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.1
Latvia,LVA,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.1
