Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Lesotho,LSO,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.54
Lesotho,LSO,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.75
Lesotho,LSO,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.84
Lesotho,LSO,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.91
Lesotho,LSO,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.13
Lesotho,LSO,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,12.09
Lesotho,LSO,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.99
Lesotho,LSO,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.4
Lesotho,LSO,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.77
Lesotho,LSO,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.35
Lesotho,LSO,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.6
Lesotho,LSO,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.48
Lesotho,LSO,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,17.43
Lesotho,LSO,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,19.36
Lesotho,LSO,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,21.04
Lesotho,LSO,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,19.47
Lesotho,LSO,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,18
Lesotho,LSO,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.66
Lesotho,LSO,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.89
Lesotho,LSO,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.23
Lesotho,LSO,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.27
Lesotho,LSO,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.48
Lesotho,LSO,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.85
Lesotho,LSO,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,12.86
Lesotho,LSO,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.76
Lesotho,LSO,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.57
Lesotho,LSO,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,20.31
Lesotho,LSO,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,12.39
Lesotho,LSO,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,11.56
