Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Liberia,LBR,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,31.95
Liberia,LBR,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,57.41
Liberia,LBR,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,69.97
Liberia,LBR,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,72.84
Liberia,LBR,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,56.76
Liberia,LBR,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,58.79
Liberia,LBR,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,66.97
Liberia,LBR,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,74.5
Liberia,LBR,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,80.9
Liberia,LBR,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,28.4
Liberia,LBR,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,45.09
Liberia,LBR,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,54.65
Liberia,LBR,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,64.18
Liberia,LBR,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,45.91
Liberia,LBR,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,43.67
Liberia,LBR,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,50.07
Liberia,LBR,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,60.1
Liberia,LBR,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,71.25
Liberia,LBR,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,58.27
Liberia,LBR,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,68.38
Liberia,LBR,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,74.28
Liberia,LBR,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,77.32
Liberia,LBR,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,77.5
Liberia,LBR,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,81.41
Liberia,LBR,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,85.88
Liberia,LBR,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,89.29
Liberia,LBR,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,92.02
Liberia,LBR,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,47.26
Liberia,LBR,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,53.57
Liberia,LBR,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,58.02
