Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Lithuania,LTU,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0
Lithuania,LTU,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.3
Lithuania,LTU,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.76
Lithuania,LTU,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.91
Lithuania,LTU,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.6
Lithuania,LTU,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.95
Lithuania,LTU,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,12.87
Lithuania,LTU,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.42
Lithuania,LTU,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,21.67
Lithuania,LTU,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0
Lithuania,LTU,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.3
Lithuania,LTU,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.85
Lithuania,LTU,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.82
Lithuania,LTU,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.6
Lithuania,LTU,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.61
Lithuania,LTU,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.72
Lithuania,LTU,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,15.71
Lithuania,LTU,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,19.23
Lithuania,LTU,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0
Lithuania,LTU,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.51
Lithuania,LTU,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.86
Lithuania,LTU,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.5
Lithuania,LTU,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.97
Lithuania,LTU,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,12.9
Lithuania,LTU,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,16.57
Lithuania,LTU,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,20.23
Lithuania,LTU,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,25.09
Lithuania,LTU,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0
Lithuania,LTU,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.46
Lithuania,LTU,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.98
Lithuania,LTU,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.74
Lithuania,LTU,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.53
Lithuania,LTU,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.12
Lithuania,LTU,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,13.42
Lithuania,LTU,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,16.71
Lithuania,LTU,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,21.45
Lithuania,LTU,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0
Lithuania,LTU,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.3
Lithuania,LTU,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.12
Lithuania,LTU,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.87
Lithuania,LTU,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.4
Lithuania,LTU,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.4
Lithuania,LTU,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.4
Lithuania,LTU,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.6
Lithuania,LTU,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.6
Lithuania,LTU,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0
Lithuania,LTU,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.3
Lithuania,LTU,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.22
Lithuania,LTU,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.02
Lithuania,LTU,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.4
