Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Macao SAR, China",MAC,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.14
"Macao SAR, China",MAC,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.08
"Macao SAR, China",MAC,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
"Macao SAR, China",MAC,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.47
"Macao SAR, China",MAC,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.7
"Macao SAR, China",MAC,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.59
"Macao SAR, China",MAC,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.22
"Macao SAR, China",MAC,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.65
"Macao SAR, China",MAC,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.9
"Macao SAR, China",MAC,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.12
"Macao SAR, China",MAC,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.07
"Macao SAR, China",MAC,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.1
"Macao SAR, China",MAC,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.91
"Macao SAR, China",MAC,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.7
"Macao SAR, China",MAC,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.48
"Macao SAR, China",MAC,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.86
"Macao SAR, China",MAC,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,10.91
"Macao SAR, China",MAC,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,13.7
"Macao SAR, China",MAC,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.43
"Macao SAR, China",MAC,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.09
"Macao SAR, China",MAC,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9
