Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Malawi,MWI,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.09
Malawi,MWI,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.09
Malawi,MWI,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,20.02
Malawi,MWI,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,40.99
Malawi,MWI,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,41.66
Malawi,MWI,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,45.43
Malawi,MWI,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,51.13
Malawi,MWI,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,46.1
Malawi,MWI,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,39
Malawi,MWI,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.09
Malawi,MWI,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.09
Malawi,MWI,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.82
Malawi,MWI,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,36.55
Malawi,MWI,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,35.65
Malawi,MWI,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,37.52
Malawi,MWI,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,37.38
Malawi,MWI,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,35
Malawi,MWI,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,20.5
Malawi,MWI,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.63
Malawi,MWI,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,31.76
Malawi,MWI,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,44.6
Malawi,MWI,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,52.69
Malawi,MWI,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,57.01
Malawi,MWI,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,63.51
Malawi,MWI,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,64.27
Malawi,MWI,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,61.66
Malawi,MWI,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,64.53
Malawi,MWI,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,18.02
Malawi,MWI,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,24.44
Malawi,MWI,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,35.41
Malawi,MWI,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,41.88
Malawi,MWI,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,44.63
Malawi,MWI,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,49.5
Malawi,MWI,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,49.36
Malawi,MWI,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,48.68
Malawi,MWI,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,50.58
Malawi,MWI,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.08
Malawi,MWI,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.85
