Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Malaysia,MYS,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.63
Malaysia,MYS,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.74
Malaysia,MYS,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.18
Malaysia,MYS,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.73
Malaysia,MYS,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.05
Malaysia,MYS,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,9.65
Malaysia,MYS,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.37
Malaysia,MYS,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,19.17
Malaysia,MYS,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,18.73
Malaysia,MYS,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.68
Malaysia,MYS,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.99
Malaysia,MYS,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.22
Malaysia,MYS,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.1
Malaysia,MYS,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.75
Malaysia,MYS,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,10.36
Malaysia,MYS,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,15.66
Malaysia,MYS,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,15.82
Malaysia,MYS,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.6
Malaysia,MYS,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.25
Malaysia,MYS,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,12.02
Malaysia,MYS,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,15.11
Malaysia,MYS,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.37
Malaysia,MYS,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,20.33
Malaysia,MYS,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.19
Malaysia,MYS,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,34.45
Malaysia,MYS,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,42.33
Malaysia,MYS,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,51.13
Malaysia,MYS,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.88
Malaysia,MYS,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.26
Malaysia,MYS,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,11.69
Malaysia,MYS,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,13.42
Malaysia,MYS,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,15.3
Malaysia,MYS,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,21.77
Malaysia,MYS,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,26.92
Malaysia,MYS,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,31.9
Malaysia,MYS,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,35.84
Malaysia,MYS,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.45
Malaysia,MYS,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.99
Malaysia,MYS,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,3.53
Malaysia,MYS,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,5.18
Malaysia,MYS,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,6.69
Malaysia,MYS,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,8.91
Malaysia,MYS,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,11.8
Malaysia,MYS,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,13.27
Malaysia,MYS,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,24.69
Malaysia,MYS,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.48
Malaysia,MYS,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.88
Malaysia,MYS,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.57
Malaysia,MYS,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,4.92
Malaysia,MYS,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,5.89
Malaysia,MYS,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,7.2
Malaysia,MYS,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,10.1
Malaysia,MYS,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,16.43
Malaysia,MYS,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,16.49
Malaysia,MYS,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.99
Malaysia,MYS,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,2.96
Malaysia,MYS,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,5.18
Malaysia,MYS,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,6.79
Malaysia,MYS,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,8.91
Malaysia,MYS,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,11.8
Malaysia,MYS,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,13.27
Malaysia,MYS,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,24.69
Malaysia,MYS,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,38.14
Malaysia,MYS,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.88
Malaysia,MYS,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,2.94
Malaysia,MYS,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,4.92
Malaysia,MYS,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,5.99
Malaysia,MYS,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,7.2
Malaysia,MYS,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,10.1
Malaysia,MYS,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,16.4
Malaysia,MYS,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,16.49
Malaysia,MYS,1970,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,26.13
Malaysia,MYS,2010,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,11.97
Malaysia,MYS,2005,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,15.47
Malaysia,MYS,2000,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,20.04
Malaysia,MYS,1995,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,23.22
Malaysia,MYS,1990,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,30.25
Malaysia,MYS,1985,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,37.57
Malaysia,MYS,1980,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,46.15
Malaysia,MYS,1975,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,56.77
Malaysia,MYS,1970,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,67.3
Malaysia,MYS,2010,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,8.78
Malaysia,MYS,2005,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,11.58
Malaysia,MYS,2000,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,15.23
Malaysia,MYS,1995,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,17.49
Malaysia,MYS,1990,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,22.77
Malaysia,MYS,1985,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,28.31
Malaysia,MYS,1980,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,34.38
Malaysia,MYS,1975,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,40.46
Malaysia,MYS,1970,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,47.64
Malaysia,MYS,2010,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,2.27
Malaysia,MYS,2005,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,4.8
Malaysia,MYS,2000,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,6.92
Malaysia,MYS,1995,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,9.7
Malaysia,MYS,1990,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,12.15
Malaysia,MYS,1985,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,14.62
Malaysia,MYS,1980,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,24.91
Malaysia,MYS,1975,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,37.98
Malaysia,MYS,1970,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,48.59
Malaysia,MYS,2010,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,2.17
Malaysia,MYS,2005,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,4.37
Malaysia,MYS,2000,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,6.1
Malaysia,MYS,1995,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,7.74
Malaysia,MYS,1990,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,9.32
Malaysia,MYS,1985,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,14.31
Malaysia,MYS,1980,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,16.4
Malaysia,MYS,1975,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,26.48
Malaysia,MYS,1970,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,29.53
Malaysia,MYS,2010,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,4.32
Malaysia,MYS,2005,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,5.75
Malaysia,MYS,2000,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,10.66
Malaysia,MYS,1995,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,11.48
