Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Maldives,MDV,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.42
Maldives,MDV,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.42
Maldives,MDV,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.42
Maldives,MDV,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,9.77
Maldives,MDV,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,15.52
Maldives,MDV,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,21.22
Maldives,MDV,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,30.14
Maldives,MDV,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,37.5
Maldives,MDV,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,43.57
Maldives,MDV,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.56
Maldives,MDV,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.56
Maldives,MDV,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.56
Maldives,MDV,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.73
Maldives,MDV,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.43
Maldives,MDV,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.44
Maldives,MDV,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,31.3
Maldives,MDV,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,38.63
Maldives,MDV,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,44.69
Maldives,MDV,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,21.2
Maldives,MDV,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.24
Maldives,MDV,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,33.89
Maldives,MDV,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,38.5
Maldives,MDV,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,37.34
Maldives,MDV,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,34.15
Maldives,MDV,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,39.44
Maldives,MDV,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,43.17
Maldives,MDV,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,47.05
Maldives,MDV,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,19.52
Maldives,MDV,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,25.46
Maldives,MDV,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,32.87
Maldives,MDV,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,36.62
Maldives,MDV,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,35.17
Maldives,MDV,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,33.42
Maldives,MDV,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,37.5
Maldives,MDV,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,40.75
Maldives,MDV,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,44.32
Maldives,MDV,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.09
Maldives,MDV,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.42
Maldives,MDV,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,5.79
Maldives,MDV,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,26.21
Maldives,MDV,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,23.64
Maldives,MDV,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,28.72
Maldives,MDV,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,32.48
Maldives,MDV,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,32.48
Maldives,MDV,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,38.21
Maldives,MDV,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.09
Maldives,MDV,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.56
Maldives,MDV,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,5.85
Maldives,MDV,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,23.67
Maldives,MDV,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,22.15
Maldives,MDV,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,28.74
Maldives,MDV,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,30.83
Maldives,MDV,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,30.83
Maldives,MDV,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,35.16
Maldives,MDV,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.42
Maldives,MDV,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,5.79
Maldives,MDV,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,26.21
Maldives,MDV,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,23.64
Maldives,MDV,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,36.7
Maldives,MDV,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,32.48
Maldives,MDV,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,32.48
Maldives,MDV,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,38.21
Maldives,MDV,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,38.21
Maldives,MDV,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.56
Maldives,MDV,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,5.85
Maldives,MDV,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,23.67
Maldives,MDV,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,22.15
Maldives,MDV,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,35.49
Maldives,MDV,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,30.83
Maldives,MDV,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,30.83
