Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Mali,MLI,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,56.58
Mali,MLI,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,61.3
Mali,MLI,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,77.3
Mali,MLI,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,81.11
Mali,MLI,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,81.39
Mali,MLI,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,80.95
Mali,MLI,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,81.79
Mali,MLI,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,84.9
Mali,MLI,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,88.83
Mali,MLI,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,56.61
Mali,MLI,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,56.64
Mali,MLI,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,73.9
Mali,MLI,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,78.45
Mali,MLI,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,78.25
Mali,MLI,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,76.95
Mali,MLI,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,79.05
Mali,MLI,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,79
Mali,MLI,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,84.83
Mali,MLI,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,75.29
Mali,MLI,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,78.97
Mali,MLI,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,84.12
Mali,MLI,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,86.19
Mali,MLI,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,87.73
Mali,MLI,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,89.58
Mali,MLI,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,91.89
Mali,MLI,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,94.28
Mali,MLI,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,96.46
Mali,MLI,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,74.57
Mali,MLI,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,73.21
Mali,MLI,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,78.92
Mali,MLI,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,81.16
Mali,MLI,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,82.71
Mali,MLI,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,84.71
Mali,MLI,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,87.47
Mali,MLI,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,90.24
Mali,MLI,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,93.41
Mali,MLI,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,70.99
Mali,MLI,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,76.22
Mali,MLI,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,81.17
Mali,MLI,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,81.45
Mali,MLI,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,81.01
Mali,MLI,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,81.73
Mali,MLI,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,85.37
Mali,MLI,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,89
Mali,MLI,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,96.5
Mali,MLI,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,69.5
Mali,MLI,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,70.36
Mali,MLI,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,76.07
Mali,MLI,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,75.87
Mali,MLI,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,74.57
Mali,MLI,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,76.37
Mali,MLI,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,76.47
Mali,MLI,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,82.8
Mali,MLI,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,93.1
Mali,MLI,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,77.47
Mali,MLI,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,81.17
Mali,MLI,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,81.45
Mali,MLI,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,81.01
Mali,MLI,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,81.73
Mali,MLI,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,85.37
Mali,MLI,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,89.09
Mali,MLI,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,96.5
