Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Malta,MLT,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.47
Malta,MLT,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Malta,MLT,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.6
Malta,MLT,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.24
Malta,MLT,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,9.74
Malta,MLT,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.26
Malta,MLT,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,18.33
Malta,MLT,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,24.03
Malta,MLT,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,27.43
Malta,MLT,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.36
Malta,MLT,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.1
Malta,MLT,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.47
Malta,MLT,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.61
Malta,MLT,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.94
Malta,MLT,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.07
Malta,MLT,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,15.85
Malta,MLT,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,23.55
Malta,MLT,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,27.15
Malta,MLT,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.03
Malta,MLT,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.54
Malta,MLT,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,11.04
Malta,MLT,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,15.49
Malta,MLT,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,18.36
Malta,MLT,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,20.69
Malta,MLT,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,26.21
Malta,MLT,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,25.41
Malta,MLT,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,25.17
Malta,MLT,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.64
Malta,MLT,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.71
Malta,MLT,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.71
Malta,MLT,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,14.29
Malta,MLT,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,16.71
Malta,MLT,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,19.23
Malta,MLT,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,24.33
Malta,MLT,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,24.14
Malta,MLT,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,24.54
Malta,MLT,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0
Malta,MLT,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.1
Malta,MLT,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.1
Malta,MLT,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.29
Malta,MLT,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.49
