Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Marshall Islands,MHL,2016,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1162
Marshall Islands,MHL,2015,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1205
Marshall Islands,MHL,2011,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1448
Marshall Islands,MHL,2009,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1524
Marshall Islands,MHL,2008,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1551
Marshall Islands,MHL,2007,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1443
Marshall Islands,MHL,2002,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1470
Marshall Islands,MHL,1999,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1648
Marshall Islands,MHL,2016,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,543
Marshall Islands,MHL,2015,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,592
Marshall Islands,MHL,2011,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,722
Marshall Islands,MHL,2009,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,705
Marshall Islands,MHL,2008,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,727
Marshall Islands,MHL,2007,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,698
Marshall Islands,MHL,2002,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,714
Marshall Islands,MHL,1999,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,827
Marshall Islands,MHL,2016,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,46.72978
Marshall Islands,MHL,2015,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.12863
Marshall Islands,MHL,2011,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.86188
Marshall Islands,MHL,2009,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,46.25984
Marshall Islands,MHL,2008,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,46.87299
Marshall Islands,MHL,2007,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.37145
Marshall Islands,MHL,2002,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.57143
Marshall Islands,MHL,1999,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50.18204
Marshall Islands,MHL,2016,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,34.00272
Marshall Islands,MHL,2015,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,33.43384
Marshall Islands,MHL,2002,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,54.38055
Marshall Islands,MHL,2016,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,33.21654
Marshall Islands,MHL,2015,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,34.92063
Marshall Islands,MHL,2002,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,54.12044
Marshall Islands,MHL,2016,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,34.7452
Marshall Islands,MHL,2015,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,32.03125
Marshall Islands,MHL,2002,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,54.62754
Marshall Islands,MHL,2016,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,16.78141
Marshall Islands,MHL,2015,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,20.74689
Marshall Islands,MHL,2011,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,18.09392
Marshall Islands,MHL,2009,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,21.91601
